epsilon,gamma_t,AGF
-1.000000000000000056e-01,9.999999999999999547e-07,9.982369125822628808e-01
-1.000000000000000056e-01,1.264855216855295881e-06,9.982366812331718853e-01
-1.000000000000000056e-01,1.599858719606057360e-06,9.982363908285816212e-01
-1.000000000000000056e-01,2.023589647725155726e-06,9.982360211686642781e-01
-1.000000000000000056e-01,2.559547922699533382e-06,9.982355552384656328e-01
-1.000000000000000056e-01,3.237457542817646685e-06,9.982349654378083192e-01
-1.000000000000000056e-01,4.094915062380427237e-06,9.982342213727687374e-01
-1.000000000000000056e-01,5.179474679231212330e-06,9.982332740825913264e-01
-1.000000000000000056e-01,6.551285568595509496e-06,9.982320814888820948e-01
-1.000000000000000056e-01,8.286427728546842542e-06,9.982305713722656737e-01
-1.000000000000000056e-01,1.048113134154685250e-05,9.982286625305972771e-01
-1.000000000000000056e-01,1.325711365590110898e-05,9.982262480873808075e-01
-1.000000000000000056e-01,1.676832936811009972e-05,9.982231915036553493e-01
-1.000000000000000056e-01,2.120950887920192640e-05,9.982193300556709836e-01
-1.000000000000000056e-01,2.682695795279727390e-05,9.982144397352001874e-01
-1.000000000000000056e-01,3.393221771895329857e-05,9.982082575467517982e-01
-1.000000000000000056e-01,4.291934260128778017e-05,9.982004378812557865e-01
-1.000000000000000056e-01,5.428675439323859403e-05,9.981905471370321470e-01
-1.000000000000000056e-01,6.866488450042998925e-05,9.981780353178557608e-01
-1.000000000000000056e-01,8.685113737513520580e-05,9.981622050389994394e-01
-1.000000000000000056e-01,1.098541141987558346e-04,9.981421948003635913e-01
-1.000000000000000056e-01,1.389495494373137348e-04,9.981168822150486841e-01
-1.000000000000000056e-01,1.757510624854793067e-04,9.980848693690265172e-01
-1.000000000000000056e-01,2.222996482526195465e-04,9.980443724592983346e-01
-1.000000000000000056e-01,2.811768697974231118e-04,9.979931532733117283e-01
-1.000000000000000056e-01,3.556480306223128661e-04,9.979283909952478826e-01
-1.000000000000000056e-01,4.498432668969443876e-04,9.978464753715899915e-01
-1.000000000000000056e-01,5.689866029018298636e-04,9.977428791942276609e-01
-1.000000000000000056e-01,7.196856730011521675e-04,9.976118788236928436e-01
-1.000000000000000056e-01,9.102981779915217267e-04,9.974462300491525601e-01
-1.000000000000000056e-01,1.151395399326448146e-03,9.972367846201336539e-01
-1.000000000000000056e-01,1.456348477501244378e-03,9.969719757247388348e-01
-1.000000000000000056e-01,1.842069969326716331e-03,9.966372282132438531e-01
-1.000000000000000056e-01,2.329951810515372077e-03,9.962141218346229898e-01
-1.000000000000000056e-01,2.947051702551809708e-03,9.956794366481289682e-01
-1.000000000000000056e-01,3.727593720314941773e-03,9.950039031874708950e-01
-1.000000000000000056e-01,4.714866363457394238e-03,9.941506985906073401e-01
-1.000000000000000056e-01,5.963623316594642357e-03,9.930734818649783469e-01
-1.000000000000000056e-01,7.543120063354623143e-03,9.917141046241054747e-01
-1.000000000000000056e-01,9.540954763499944619e-03,9.899997002088730680e-01
-1.000000000000000056e-01,1.206792640639328847e-02,9.878392126333375156e-01
-1.000000000000000056e-01,1.526417967175233356e-02,9.851192227069112128e-01
-1.000000000000000056e-01,1.930697728883249559e-02,9.816990165429229087e-01
-1.000000000000000056e-01,2.442053094548649744e-02,9.774049898664243230e-01
-1.000000000000000056e-01,3.088843596477484910e-02,9.720243709218649997e-01
-1.000000000000000056e-01,3.906939937054620948e-02,9.652986884776963983e-01
-1.000000000000000056e-01,4.941713361323837872e-02,9.569174988969387785e-01
-1.000000000000000056e-01,6.250551925273975518e-02,9.465135236910771077e-01
-1.000000000000000056e-01,7.906043210907701124e-02,9.336606821550869073e-01
-1.000000000000000056e-01,1.000000000000000056e-01,9.178778200854531555e-01
-9.591836734693878763e-02,9.999999999999999547e-07,9.984597716794408884e-01
-9.591836734693878763e-02,1.264855216855295881e-06,9.984595446811647124e-01
-9.591836734693878763e-02,1.599858719606057360e-06,9.984592543545636190e-01
-9.591836734693878763e-02,2.023589647725155726e-06,9.984588838684973489e-01
-9.591836734693878763e-02,2.559547922699533382e-06,9.984584204029028909e-01
-9.591836734693878763e-02,3.237457542817646685e-06,9.984578285498919570e-01
-9.591836734693878763e-02,4.094915062380427237e-06,9.984570820407860925e-01
-9.591836734693878763e-02,5.179474679231212330e-06,9.984561351812986096e-01
-9.591836734693878763e-02,6.551285568595509496e-06,9.984549455901506887e-01
-9.591836734693878763e-02,8.286427728546842542e-06,9.984534344581530441e-01
-9.591836734693878763e-02,1.048113134154685250e-05,9.984515248973754309e-01
-9.591836734693878763e-02,1.325711365590110898e-05,9.984491069003555985e-01
-9.591836734693878763e-02,1.676832936811009972e-05,9.984460513472793730e-01
-9.591836734693878763e-02,2.120950887920192640e-05,9.984421848193089088e-01
-9.591836734693878763e-02,2.682695795279727390e-05,9.984372986111996751e-01
-9.591836734693878763e-02,3.393221771895329857e-05,9.984311166724050279e-01
-9.591836734693878763e-02,4.291934260128778017e-05,9.984232923587105235e-01
-9.591836734693878763e-02,5.428675439323859403e-05,9.984134023625382826e-01
-9.591836734693878763e-02,6.866488450042998925e-05,9.984008918122391218e-01
-9.591836734693878763e-02,8.685113737513520580e-05,9.983850670635833202e-01
-9.591836734693878763e-02,1.098541141987558346e-04,9.983650501469957250e-01
-9.591836734693878763e-02,1.389495494373137348e-04,9.983397287479418569e-01
-9.591836734693878763e-02,1.757510624854793067e-04,9.983077161624840379e-01
-9.591836734693878763e-02,2.222996482526195465e-04,9.982672187004524300e-01
-9.591836734693878763e-02,2.811768697974231118e-04,9.982159987710538251e-01
-9.591836734693878763e-02,3.556480306223128661e-04,9.981512228926976427e-01
-9.591836734693878763e-02,4.498432668969443876e-04,9.980693028863965033e-01
-9.591836734693878763e-02,5.689866029018298636e-04,9.979657019290714137e-01
-9.591836734693878763e-02,7.196856730011521675e-04,9.978346909283363209e-01
-9.591836734693878763e-02,9.102981779915217267e-04,9.976690257448111998e-01
-9.591836734693878763e-02,1.151395399326448146e-03,9.974595602182811938e-01
-9.591836734693878763e-02,1.456348477501244378e-03,9.971947352086258931e-01
-9.591836734693878763e-02,1.842069969326716331e-03,9.968599610484095708e-01
-9.591836734693878763e-02,2.329951810515372077e-03,9.964368138713944889e-01
-9.591836734693878763e-02,2.947051702551809708e-03,9.959020879795680292e-01
-9.591836734693878763e-02,3.727593720314941773e-03,9.952264966003570024e-01
-9.591836734693878763e-02,4.714866363457394238e-03,9.943732251250007037e-01
-9.591836734693878763e-02,5.963623316594642357e-03,9.932959185645239275e-01
-9.591836734693878763e-02,7.543120063354623143e-03,9.919364244403852116e-01
-9.591836734693878763e-02,9.540954763499944619e-03,9.902218857146745101e-01
-9.591836734693878763e-02,1.206792640639328847e-02,9.880612194426562356e-01
-9.591836734693878763e-02,1.526417967175233356e-02,9.853410152030900315e-01
-9.591836734693878763e-02,1.930697728883249559e-02,9.819205422261356730e-01
-9.591836734693878763e-02,2.442053094548649744e-02,9.776261910591930171e-01
-9.591836734693878763e-02,3.088843596477484910e-02,9.722451620897243352e-01
-9.591836734693878763e-02,3.906939937054620948e-02,9.655189883523972449e-01
-9.591836734693878763e-02,4.941713361323837872e-02,9.571372122905533741e-01
-9.591836734693878763e-02,6.250551925273975518e-02,9.467325351630754282e-01
-9.591836734693878763e-02,7.906043210907701124e-02,9.338788807807213432e-01
-9.591836734693878763e-02,1.000000000000000056e-01,9.180950978134815310e-01
-9.183673469387755584e-02,9.999999999999999547e-07,9.986546164046555818e-01
-9.183673469387755584e-02,1.264855216855295881e-06,9.986543826225896536e-01
-9.183673469387755584e-02,1.599858719606057360e-06,9.986540952195746002e-01
-9.183673469387755584e-02,2.023589647725155726e-06,9.986537244835540506e-01
-9.183673469387755584e-02,2.559547922699533382e-06,9.986532587191107035e-01
-9.183673469387755584e-02,3.237457542817646685e-06,9.986526683515529745e-01
-9.183673469387755584e-02,4.094915062380427237e-06,9.986519239464561881e-01
-9.183673469387755584e-02,5.179474679231212330e-06,9.986509778688312799e-01
-9.183673469387755584e-02,6.551285568595509496e-06,9.986497792353855596e-01
-9.183673469387755584e-02,8.286427728546842542e-06,9.986482676845211959e-01
-9.183673469387755584e-02,1.048113134154685250e-05,9.986463621929402290e-01
-9.183673469387755584e-02,1.325711365590110898e-05,9.986439479801927366e-01
