gamma_t,AGF,abs_dAGF
9.999999999999999547e-07,9.997301437625373266e-01,3.457368613624112186e-09
1.832980710832437485e-06,9.997301462741126077e-01,9.457933325407452685e-10
3.359818286283781079e-06,9.997301437353821596e-01,3.484523780628023815e-09
6.158482110660267368e-06,9.997301433462842946e-01,3.873621645666958102e-09
1.128837891684688340e-05,9.997301423829111355e-01,4.836994804691130412e-09
2.069138081114790017e-05,9.997301381933233477e-01,9.026582592497334190e-09
3.792690190732253704e-05,9.997301275555399158e-01,1.966436602440779779e-08
6.951927961775605607e-05,9.997301090841108628e-01,3.813579507738751317e-08
1.274274985703133418e-04,9.997300806710215371e-01,6.654888440316142351e-08
2.335721469090121423e-04,9.997300244097888644e-01,1.228101170758222338e-07
4.281332398719391269e-04,9.997299184730978894e-01,2.287468080508503476e-07
7.847599703514606404e-04,9.997297403908521618e-01,4.068290537784235994e-07
1.438449888287662891e-03,9.997294024313478911e-01,7.447885580491586666e-07
2.636650898730358294e-03,9.997287773458833904e-01,1.369874022549844028e-06
4.832930238571751802e-03,9.997276499349129208e-01,2.497284993019377453e-06
8.858667904100822610e-03,9.997255663457512709e-01,4.580874154669345444e-06
1.623776739188721036e-02,9.997217498740765818e-01,8.397345829358471292e-06
2.976351441631319358e-02,9.997147523808220804e-01,1.539483908385985700e-05
5.455594781168514318e-02,9.997019332592924634e-01,2.821396061347680728e-05
1.000000000000000056e-01,9.996784355579272363e-01,5.171166197870391557e-05
