epsilon,gamma_T,AGF
-1.000000000000000056e-01,9.999999999999999547e-07,9.990735003261517200e-01
-1.000000000000000056e-01,1.264855216855295881e-06,9.990276848944701360e-01
-1.000000000000000056e-01,1.599858719606057360e-06,9.990521418942348575e-01
-1.000000000000000056e-01,2.023589647725155726e-06,9.991150678007229002e-01
-1.000000000000000056e-01,2.559547922699533382e-06,9.990010356611257469e-01
-1.000000000000000056e-01,3.237457542817646685e-06,9.991181573194822807e-01
-1.000000000000000056e-01,4.094915062380427237e-06,9.990663402159321027e-01
-1.000000000000000056e-01,5.179474679231212330e-06,9.989847740706836454e-01
-1.000000000000000056e-01,6.551285568595509496e-06,9.990727967015534672e-01
-1.000000000000000056e-01,8.286427728546842542e-06,9.990989519164048538e-01
-1.000000000000000056e-01,1.048113134154685250e-05,9.990962669602799773e-01
-1.000000000000000056e-01,1.325711365590110898e-05,9.990436140970717638e-01
-1.000000000000000056e-01,1.676832936811009972e-05,9.990653039578929473e-01
-1.000000000000000056e-01,2.120950887920192640e-05,9.991736783363204255e-01
-1.000000000000000056e-01,2.682695795279727390e-05,9.990384529143628844e-01
-1.000000000000000056e-01,3.393221771895329857e-05,9.990769841249794725e-01
-1.000000000000000056e-01,4.291934260128778017e-05,9.989876928739920281e-01
-1.000000000000000056e-01,5.428675439323859403e-05,9.989847607359814141e-01
-1.000000000000000056e-01,6.866488450042998925e-05,9.990111170867297385e-01
-1.000000000000000056e-01,8.685113737513520580e-05,9.991004680107028468e-01
-1.000000000000000056e-01,1.098541141987558346e-04,9.990871912591281490e-01
-1.000000000000000056e-01,1.389495494373137348e-04,9.990430338904665586e-01
-1.000000000000000056e-01,1.757510624854793067e-04,9.989731993204954419e-01
-1.000000000000000056e-01,2.222996482526195465e-04,9.989723990737077175e-01
-1.000000000000000056e-01,2.811768697974231118e-04,9.990016717670785473e-01
-1.000000000000000056e-01,3.556480306223128661e-04,9.989351999620234013e-01
-1.000000000000000056e-01,4.498432668969443876e-04,9.988009285741253906e-01
-1.000000000000000056e-01,5.689866029018298636e-04,9.987380736824736926e-01
-1.000000000000000056e-01,7.196856730011521675e-04,9.987246402096804365e-01
-1.000000000000000056e-01,9.102981779915217267e-04,9.986283523029616527e-01
-1.000000000000000056e-01,1.151395399326448146e-03,9.985263978472296298e-01
-1.000000000000000056e-01,1.456348477501244378e-03,9.983829323878375961e-01
-1.000000000000000056e-01,1.842069969326716331e-03,9.981817769052117040e-01
-1.000000000000000056e-01,2.329951810515372077e-03,9.980423554614195059e-01
-1.000000000000000056e-01,2.947051702551809708e-03,9.976838883848307971e-01
-1.000000000000000056e-01,3.727593720314941773e-03,9.974435274223784065e-01
-1.000000000000000056e-01,4.714866363457394238e-03,9.970348638445226674e-01
-1.000000000000000056e-01,5.963623316594642357e-03,9.963761069872389964e-01
-1.000000000000000056e-01,7.543120063354623143e-03,9.957933979018624981e-01
-1.000000000000000056e-01,9.540954763499944619e-03,9.949511603821625805e-01
-1.000000000000000056e-01,1.206792640639328847e-02,9.938232008725798039e-01
-1.000000000000000056e-01,1.526417967175233356e-02,9.923343429575733898e-01
-1.000000000000000056e-01,1.930697728883249559e-02,9.908287514661473505e-01
-1.000000000000000056e-01,2.442053094548649744e-02,9.880462454475071876e-01
-1.000000000000000056e-01,3.088843596477484910e-02,9.850687036142252717e-01
-1.000000000000000056e-01,3.906939937054620948e-02,9.820826684704041520e-01
-1.000000000000000056e-01,4.941713361323837872e-02,9.792594910445322487e-01
-1.000000000000000056e-01,6.250551925273975518e-02,9.729800386137674728e-01
-1.000000000000000056e-01,7.906043210907701124e-02,9.635237609010145476e-01
-1.000000000000000056e-01,1.000000000000000056e-01,9.573528835955517069e-01
-9.591836734693878763e-02,9.999999999999999547e-07,9.991499311759522994e-01
-9.591836734693878763e-02,1.264855216855295881e-06,9.992222198276575762e-01
-9.591836734693878763e-02,1.599858719606057360e-06,9.992090051094777436e-01
-9.591836734693878763e-02,2.023589647725155726e-06,9.992078461889137841e-01
-9.591836734693878763e-02,2.559547922699533382e-06,9.992033785265367341e-01
-9.591836734693878763e-02,3.237457542817646685e-06,9.992191179987568450e-01
-9.591836734693878763e-02,4.094915062380427237e-06,9.991721177877955773e-01
-9.591836734693878763e-02,5.179474679231212330e-06,9.992152983935542743e-01
-9.591836734693878763e-02,6.551285568595509496e-06,9.992258897242680682e-01
-9.591836734693878763e-02,8.286427728546842542e-06,9.992152331041680435e-01
-9.591836734693878763e-02,1.048113134154685250e-05,9.992741089926915343e-01
-9.591836734693878763e-02,1.325711365590110898e-05,9.991874857972868895e-01
-9.591836734693878763e-02,1.676832936811009972e-05,9.991473498808681741e-01
-9.591836734693878763e-02,2.120950887920192640e-05,9.991190623679174765e-01
-9.591836734693878763e-02,2.682695795279727390e-05,9.992449319499354665e-01
-9.591836734693878763e-02,3.393221771895329857e-05,9.991712493811149010e-01
-9.591836734693878763e-02,4.291934260128778017e-05,9.991876432354477311e-01
-9.591836734693878763e-02,5.428675439323859403e-05,9.992453594939101347e-01
-9.591836734693878763e-02,6.866488450042998925e-05,9.990894286065440388e-01
-9.591836734693878763e-02,8.685113737513520580e-05,9.990848109304307778e-01
-9.591836734693878763e-02,1.098541141987558346e-04,9.991978283816824735e-01
-9.591836734693878763e-02,1.389495494373137348e-04,9.991236007365220662e-01
-9.591836734693878763e-02,1.757510624854793067e-04,9.991488404001546142e-01
-9.591836734693878763e-02,2.222996482526195465e-04,9.989529153044546250e-01
-9.591836734693878763e-02,2.811768697974231118e-04,9.990516948735214120e-01
-9.591836734693878763e-02,3.556480306223128661e-04,9.990902387907080184e-01
-9.591836734693878763e-02,4.498432668969443876e-04,9.989376049771773181e-01
-9.591836734693878763e-02,5.689866029018298636e-04,9.989520418521514733e-01
-9.591836734693878763e-02,7.196856730011521675e-04,9.988651376031230100e-01
-9.591836734693878763e-02,9.102981779915217267e-04,9.986612401616096202e-01
-9.591836734693878763e-02,1.151395399326448146e-03,9.986857249978980944e-01
-9.591836734693878763e-02,1.456348477501244378e-03,9.985314433496089714e-01
-9.591836734693878763e-02,1.842069969326716331e-03,9.984181120281933053e-01
-9.591836734693878763e-02,2.329951810515372077e-03,9.981270006689800800e-01
-9.591836734693878763e-02,2.947051702551809708e-03,9.979195365571092990e-01
-9.591836734693878763e-02,3.727593720314941773e-03,9.976182356089101644e-01
-9.591836734693878763e-02,4.714866363457394238e-03,9.971275869507608691e-01
-9.591836734693878763e-02,5.963623316594642357e-03,9.965426446299399110e-01
