epsilon,gamma_t,AGF
-1.000000000000000056e-01,9.999999999999999547e-07,9.999805466919101660e-01
-1.000000000000000056e-01,1.264855216855295881e-06,9.999803164897564933e-01
-1.000000000000000056e-01,1.599858719606057360e-06,9.999800240968772513e-01
-1.000000000000000056e-01,2.023589647725155726e-06,9.999796562513744158e-01
-1.000000000000000056e-01,2.559547922699533382e-06,9.999791883218489552e-01
-1.000000000000000056e-01,3.237457542817646685e-06,9.999785998505501539e-01
-1.000000000000000056e-01,4.094915062380427237e-06,9.999778535798921064e-01
-1.000000000000000056e-01,5.179474679231212330e-06,9.999769091723977876e-01
-1.000000000000000056e-01,6.551285568595509496e-06,9.999757163758328238e-01
-1.000000000000000056e-01,8.286427728546842542e-06,9.999742066261338991e-01
-1.000000000000000056e-01,1.048113134154685250e-05,9.999722966045098138e-01
-1.000000000000000056e-01,1.325711365590110898e-05,9.999698806824411923e-01
-1.000000000000000056e-01,1.676832936811009972e-05,9.999668267592941584e-01
-1.000000000000000056e-01,2.120950887920192640e-05,9.999629606963372774e-01
-1.000000000000000056e-01,2.682695795279727390e-05,9.999580725754646515e-01
-1.000000000000000056e-01,3.393221771895329857e-05,9.999518915296592425e-01
-1.000000000000000056e-01,4.291934260128778017e-05,9.999440717170219317e-01
-1.000000000000000056e-01,5.428675439323859403e-05,9.999341817191189641e-01
-1.000000000000000056e-01,6.866488450042998925e-05,9.999216716731984533e-01
-1.000000000000000056e-01,8.685113737513520580e-05,9.999058481923690511e-01
-1.000000000000000056e-01,1.098541141987558346e-04,9.998858368659553353e-01
-1.000000000000000056e-01,1.389495494373137348e-04,9.998605247530693019e-01
-1.000000000000000056e-01,1.757510624854793067e-04,9.998285105663461403e-01
-1.000000000000000056e-01,2.222996482526195465e-04,9.997880208031162397e-01
-1.000000000000000056e-01,2.811768697974231118e-04,9.997368110493068949e-01
-1.000000000000000056e-01,3.556480306223128661e-04,9.996720452756320263e-01
-1.000000000000000056e-01,4.498432668969443876e-04,9.995901354454688192e-01
-1.000000000000000056e-01,5.689866029018298636e-04,9.994865518088021927e-01
-1.000000000000000056e-01,7.196856730011521675e-04,9.993555616845687384e-01
-1.000000000000000056e-01,9.102981779915217267e-04,9.991899239634216556e-01
-1.000000000000000056e-01,1.151395399326448146e-03,9.989804908914249326e-01
-1.000000000000000056e-01,1.456348477501244378e-03,9.987157085711815263e-01
-1.000000000000000056e-01,1.842069969326716331e-03,9.983809836539520033e-01
-1.000000000000000056e-01,2.329951810515372077e-03,9.979579093146666580e-01
-1.000000000000000056e-01,2.947051702551809708e-03,9.974232644128541159e-01
-1.000000000000000056e-01,3.727593720314941773e-03,9.967477910608105729e-01
-1.000000000000000056e-01,4.714866363457394238e-03,9.958946466489093652e-01
-1.000000000000000056e-01,5.963623316594642357e-03,9.948175179238744059e-01
-1.000000000000000056e-01,7.543120063354623143e-03,9.934582503163406075e-01
-1.000000000000000056e-01,9.540954763499944619e-03,9.917439881867297080e-01
-1.000000000000000056e-01,1.206792640639328847e-02,9.895836863590887766e-01
-1.000000000000000056e-01,1.526417967175233356e-02,9.868639301083702575e-01
-1.000000000000000056e-01,1.930697728883249559e-02,9.834440385509054527e-01
-1.000000000000000056e-01,2.442053094548649744e-02,9.791504171805849310e-01
-1.000000000000000056e-01,3.088843596477484910e-02,9.737703307430664035e-01
-1.000000000000000056e-01,3.906939937054620948e-02,9.670453439385334748e-01
-1.000000000000000056e-01,4.941713361323837872e-02,9.586650819992216244e-01
-1.000000000000000056e-01,6.250551925273975518e-02,9.482623122084544720e-01
-1.000000000000000056e-01,7.906043210907701124e-02,9.354110556504514618e-01
-1.000000000000000056e-01,1.000000000000000056e-01,9.196302214652760654e-01
-9.591836734693878763e-02,9.999999999999999547e-07,9.999832385402470658e-01
-9.591836734693878763e-02,1.264855216855295881e-06,9.999830069321784531e-01
-9.591836734693878763e-02,1.599858719606057360e-06,9.999827165747547930e-01
-9.591836734693878763e-02,2.023589647725155726e-06,9.999823480715275270e-01
-9.591836734693878763e-02,2.559547922699533382e-06,9.999818805385102261e-01
-9.591836734693878763e-02,3.237457542817646685e-06,9.999812901127070885e-01
-9.591836734693878763e-02,4.094915062380427237e-06,9.999805423912051516e-01
-9.591836734693878763e-02,5.179474679231212330e-06,9.999796000755689640e-01
-9.591836734693878763e-02,6.551285568595509496e-06,9.999784063004504286e-01
-9.591836734693878763e-02,8.286427728546842542e-06,9.999768969278487463e-01
-9.591836734693878763e-02,1.048113134154685250e-05,9.999749875676134936e-01
-9.591836734693878763e-02,1.325711365590110898e-05,9.999725723127196320e-01
-9.591836734693878763e-02,1.676832936811009972e-05,9.999695172466982473e-01
-9.591836734693878763e-02,2.120950887920192640e-05,9.999656527338430800e-01
-9.591836734693878763e-02,2.682695795279727390e-05,9.999607660985019297e-01
-9.591836734693878763e-02,3.393221771895329857e-05,9.999545828157573313e-01
-9.591836734693878763e-02,4.291934260128778017e-05,9.999467635523414666e-01
-9.591836734693878763e-02,5.428675439323859403e-05,9.999368725366761801e-01
-9.591836734693878763e-02,6.866488450042998925e-05,9.999243630852842069e-01
-9.591836734693878763e-02,8.685113737513520580e-05,9.999085420029841798e-01
-9.591836734693878763e-02,1.098541141987558346e-04,9.998885292494815724e-01
-9.591836734693878763e-02,1.389495494373137348e-04,9.998632177861604964e-01
-9.591836734693878763e-02,1.757510624854793067e-04,9.998312044744593896e-01
-9.591836734693878763e-02,2.222996482526195465e-04,9.997907156201706336e-01
-9.591836734693878763e-02,2.811768697974231118e-04,9.997395070120792537e-01
-9.591836734693878763e-02,3.556480306223128661e-04,9.996747414009377053e-01
-9.591836734693878763e-02,4.498432668969443876e-04,9.995928353036975800e-01
-9.591836734693878763e-02,5.689866029018298636e-04,9.994892522836218429e-01
-9.591836734693878763e-02,7.196856730011521675e-04,9.993582652121462129e-01
-9.591836734693878763e-02,9.102981779915217267e-04,9.991926322796439441e-01
-9.591836734693878763e-02,1.151395399326448146e-03,9.989832020703200977e-01
-9.591836734693878763e-02,1.456348477501244378e-03,9.987184229239493005e-01
-9.591836734693878763e-02,1.842069969326716331e-03,9.983837056385893582e-01
-9.591836734693878763e-02,2.329951810515372077e-03,9.979606395111411121e-01
-9.591836734693878763e-02,2.947051702551809708e-03,9.974260058502768533e-01
-9.591836734693878763e-02,3.727593720314941773e-03,9.967505434929146979e-01
-9.591836734693878763e-02,4.714866363457394238e-03,9.958974189871162563e-01
-9.591836734693878763e-02,5.963623316594642357e-03,9.948203082412200304e-01
-9.591836734693878763e-02,7.543120063354623143e-03,9.934610642186251228e-01
-9.591836734693878763e-02,9.540954763499944619e-03,9.917468326682779001e-01
-9.591836734693878763e-02,1.206792640639328847e-02,9.895865668512384694e-01
-9.591836734693878763e-02,1.526417967175233356e-02,9.868668585318018938e-01
-9.591836734693878763e-02,1.930697728883249559e-02,9.834470218733736280e-01
-9.591836734693878763e-02,2.442053094548649744e-02,9.791534671646764387e-01
-9.591836734693878763e-02,3.088843596477484910e-02,9.737734549611636314e-01
-9.591836734693878763e-02,3.906939937054620948e-02,9.670485535181826409e-01
-9.591836734693878763e-02,4.941713361323837872e-02,9.586683802542484978e-01
-9.591836734693878763e-02,6.250551925273975518e-02,9.482656965376259350e-01
-9.591836734693878763e-02,7.906043210907701124e-02,9.354145085143970029e-01
-9.591836734693878763e-02,1.000000000000000056e-01,9.196336876707986718e-01
-9.183673469387755584e-02,9.999999999999999547e-07,9.999850908685918860e-01
-9.183673469387755584e-02,1.264855216855295881e-06,9.999848599551319772e-01
-9.183673469387755584e-02,1.599858719606057360e-06,9.999845693226420140e-01
-9.183673469387755584e-02,2.023589647725155726e-06,9.999842001241350253e-01
-9.183673469387755584e-02,2.559547922699533382e-06,9.999837333637792147e-01
-9.183673469387755584e-02,3.237457542817646685e-06,9.999831435585793127e-01
-9.183673469387755584e-02,4.094915062380427237e-06,9.999823982298009506e-01
-9.183673469387755584e-02,5.179474679231212330e-06,9.999814542330228706e-01
-9.183673469387755584e-02,6.551285568595509496e-06,9.999802610793776525e-01
-9.183673469387755584e-02,8.286427728546842542e-06,9.999787498090310089e-01
-9.183673469387755584e-02,1.048113134154685250e-05,9.999768419335687275e-01
-9.183673469387755584e-02,1.325711365590110898e-05,9.999744259132649082e-01
-9.183673469387755584e-02,1.676832936811009972e-05,9.999713704401252956e-01
-9.183673469387755584e-02,2.120950887920192640e-05,9.999675077664973433e-01
-9.183673469387755584e-02,2.682695795279727390e-05,9.999626184119958516e-01
-9.183673469387755584e-02,3.393221771895329857e-05,9.999564372284126534e-01
-9.183673469387755584e-02,4.291934260128778017e-05,9.999486168339010161e-01
-9.183673469387755584e-02,5.428675439323859403e-05,9.999387275235966932e-01
-9.183673469387755584e-02,6.866488450042998925e-05,9.999262199937042350e-01
-9.183673469387755584e-02,8.685113737513520580e-05,9.999103985398515304e-01
-9.183673469387755584e-02,1.098541141987558346e-04,9.998903868147555052e-01
-9.183673469387755584e-02,1.389495494373137348e-04,9.998650743472979885e-01
-9.183673469387755584e-02,1.757510624854793067e-04,9.998330612486715507e-01
-9.183673469387755584e-02,2.222996482526195465e-04,9.997925711554366268e-01
-9.183673469387755584e-02,2.811768697974231118e-04,9.997413645071304700e-01
-9.183673469387755584e-02,3.556480306223128661e-04,9.996766010902341515e-01
-9.183673469387755584e-02,4.498432668969443876e-04,9.995946958175818686e-01
-9.183673469387755584e-02,5.689866029018298636e-04,9.994911148913956378e-01
-9.183673469387755584e-02,7.196856730011521675e-04,9.993601312591223751e-01
-9.183673469387755584e-02,9.102981779915217267e-04,9.991944992599971487e-01
-9.183673469387755584e-02,1.151395399326448146e-03,9.989850753994913291e-01
-9.183673469387755584e-02,1.456348477501244378e-03,9.987203017698768059e-01
-9.183673469387755584e-02,1.842069969326716331e-03,9.983855906578779082e-01
-9.183673469387755584e-02,2.329951810515372077e-03,9.979625308319677313e-01
-9.183673469387755584e-02,2.947051702551809708e-03,9.974279067501615748e-01
-9.183673469387755584e-02,3.727593720314941773e-03,9.967524587894998067e-01
-9.183673469387755584e-02,4.714866363457394238e-03,9.958993468355896717e-01
-9.183673469387755584e-02,5.963623316594642357e-03,9.948222568318589865e-01
-9.183673469387755584e-02,7.543120063354623143e-03,9.934630345032157139e-01
-9.183673469387755584e-02,9.540954763499944619e-03,9.917488302086107099e-01
-9.183673469387755584e-02,1.206792640639328847e-02,9.895885966359790897e-01
-9.183673469387755584e-02,1.526417967175233356e-02,9.868689246650600433e-01
-9.183673469387755584e-02,1.930697728883249559e-02,9.834491247772331191e-01
-9.183673469387755584e-02,2.442053094548649744e-02,9.791556120121255313e-01
-9.183673469387755584e-02,3.088843596477484910e-02,9.737756344159397282e-01
-9.183673469387755584e-02,3.906939937054620948e-02,9.670507548852047552e-01
-9.183673469387755584e-02,4.941713361323837872e-02,9.586705699723051533e-01
-9.183673469387755584e-02,6.250551925273975518e-02,9.482678128036713394e-01
-9.183673469387755584e-02,7.906043210907701124e-02,9.354164393717958603e-01
-9.183673469387755584e-02,1.000000000000000056e-01,9.196352466078628884e-01
-8.775510204081632404e-02,9.999999999999999547e-07,9.999862618221668775e-01
-8.775510204081632404e-02,1.264855216855295881e-06,9.999860306292525092e-01
-8.775510204081632404e-02,1.599858719606057360e-06,9.999857392690810753e-01
-8.775510204081632404e-02,2.023589647725155726e-06,9.999853727078849008e-01
-8.775510204081632404e-02,2.559547922699533382e-06,9.999849046894843108e-01
-8.775510204081632404e-02,3.237457542817646685e-06,9.999843128713251650e-01
-8.775510204081632404e-02,4.094915062380427237e-06,9.999835682893256639e-01
-8.775510204081632404e-02,5.179474679231212330e-06,9.999826241455460618e-01
-8.775510204081632404e-02,6.551285568595509496e-06,9.999814319192598111e-01
-8.775510204081632404e-02,8.286427728546842542e-06,9.999799212335030996e-01
-8.775510204081632404e-02,1.048113134154685250e-05,9.999780101446935632e-01
-8.775510204081632404e-02,1.325711365590110898e-05,9.999755972943538129e-01
-8.775510204081632404e-02,1.676832936811009972e-05,9.999725418297571444e-01
-8.775510204081632404e-02,2.120950887920192640e-05,9.999686781534445901e-01
-8.775510204081632404e-02,2.682695795279727390e-05,9.999637900942403013e-01
-8.775510204081632404e-02,3.393221771895329857e-05,9.999576089652418842e-01
-8.775510204081632404e-02,4.291934260128778017e-05,9.999497892211144379e-01
-8.775510204081632404e-02,5.428675439323859403e-05,9.999399006202309703e-01
-8.775510204081632404e-02,6.866488450042998925e-05,9.999273893350475451e-01
-8.775510204081632404e-02,8.685113737513520580e-05,9.999115690429870584e-01
-8.775510204081632404e-02,1.098541141987558346e-04,9.998915569686979143e-01
-8.775510204081632404e-02,1.389495494373137348e-04,9.998662456472277027e-01
-8.775510204081632404e-02,1.757510624854793067e-04,9.998342360402466822e-01
-8.775510204081632404e-02,2.222996482526195465e-04,9.997937485738351837e-01
-8.775510204081632404e-02,2.811768697974231118e-04,9.997425408290004922e-01
-8.775510204081632404e-02,3.556480306223128661e-04,9.996777778253094215e-01
-8.775510204081632404e-02,4.498432668969443876e-04,9.995958729926219810e-01
-8.775510204081632404e-02,5.689866029018298636e-04,9.994922957959166965e-01
-8.775510204081632404e-02,7.196856730011521675e-04,9.993613135541613568e-01
-8.775510204081632404e-02,9.102981779915217267e-04,9.991956852148827783e-01
-8.775510204081632404e-02,1.151395399326448146e-03,9.989862650526748489e-01
-8.775510204081632404e-02,1.456348477501244378e-03,9.987214960790390395e-01
-8.775510204081632404e-02,1.842069969326716331e-03,9.983867899211611441e-01
-8.775510204081632404e-02,2.329951810515372077e-03,9.979637406990822246e-01
-8.775510204081632404e-02,2.947051702551809708e-03,9.974291252156354259e-01
-8.775510204081632404e-02,3.727593720314941773e-03,9.967536872534304981e-01
-8.775510204081632404e-02,4.714866363457394238e-03,9.959005895941277497e-01
-8.775510204081632404e-02,5.963623316594642357e-03,9.948235144519118611e-01
-8.775510204081632404e-02,7.543120063354623143e-03,9.934643130715669068e-01
-8.775510204081632404e-02,9.540954763499944619e-03,9.917501317258873295e-01
-8.775510204081632404e-02,1.206792640639328847e-02,9.895899236797766063e-01
-8.775510204081632404e-02,1.526417967175233356e-02,9.868702761659854383e-01
-8.775510204081632404e-02,1.930697728883249559e-02,9.834505027254019094e-01
-8.775510204081632404e-02,2.442053094548649744e-02,9.791570063981858141e-01
-8.775510204081632404e-02,3.088843596477484910e-02,9.737770292878709100e-01
-8.775510204081632404e-02,3.906939937054620948e-02,9.670521127327400546e-01
-8.775510204081632404e-02,4.941713361323837872e-02,9.586718281691405386e-01
-8.775510204081632404e-02,6.250551925273975518e-02,9.482688588182703882e-01
-8.775510204081632404e-02,7.906043210907701124e-02,9.354170795905054625e-01
-8.775510204081632404e-02,1.000000000000000056e-01,9.196351771752290238e-01
-8.367346938775510612e-02,9.999999999999999547e-07,9.999868675699338239e-01
-8.367346938775510612e-02,1.264855216855295881e-06,9.999866384586519885e-01
-8.367346938775510612e-02,1.599858719606057360e-06,9.999863472666686848e-01
-8.367346938775510612e-02,2.023589647725155726e-06,9.999859780969119205e-01
