gamma_t,AGF,abs_dAGF
9.999999999999999547e-07,9.999702300696803325e-01,1.729704712793989074e-09
1.832980710832437485e-06,9.999702267454293469e-01,1.594546272798424980e-09
3.359818286283781079e-06,9.999702264248750971e-01,1.915100522609236577e-09
6.158482110660267368e-06,9.999702244098968018e-01,3.930078817937499025e-09
1.128837891684688340e-05,9.999702209751886173e-01,7.364787002472894528e-09
2.069138081114790017e-05,9.999702162594406030e-01,1.208053501677852637e-08
3.792690190732253704e-05,9.999702073461606000e-01,2.099381501974306730e-08
6.951927961775605607e-05,9.999701876481799090e-01,4.069179571075665081e-08
1.274274985703133418e-04,9.999701502001424602e-01,7.813983315951844588e-08
2.335721469090121423e-04,9.999700852803485862e-01,1.430596270335371401e-07
4.281332398719391269e-04,9.999699641764067115e-01,2.641635689082377780e-07
7.847599703514606404e-04,9.999697436636130199e-01,4.846763625998562475e-07
1.438449888287662891e-03,9.999693398343575401e-01,8.885056180796269132e-07
2.636650898730358294e-03,9.999686018183840952e-01,1.626521591524543453e-06
4.832930238571751802e-03,9.999672433665866000e-01,2.984973389019707213e-06
8.858667904100822610e-03,9.999647587686700811e-01,5.469571305538600825e-06
1.623776739188721036e-02,9.999602031083308917e-01,1.002523164472801653e-05
2.976351441631319358e-02,9.999518564842265755e-01,1.837185574904420804e-05
5.455594781168514318e-02,9.999365705364406942e-01,3.365780353492553445e-05
1.000000000000000056e-01,9.999085737623926162e-01,6.165457758300352253e-05
