T,AGF,Avg_Leakage,Unitary_Error
1.000000000000000000e+00,6.917846673668266444e-01,6.395403826628148769e-02,1.250262576075555909e-01
1.500000000000000000e+00,4.161348932725820182e-01,3.458317500256452570e-01,4.975218810226541555e-01
2.000000000000000000e+00,4.921914442565349934e-01,2.528211248127699706e-01,2.748448178100378891e-01
2.500000000000000000e+00,7.588339177690268667e-01,2.093813867868543344e-01,4.210239381833704719e-01
3.000000000000000000e+00,9.317297588102537720e-01,6.208968085225499700e-02,1.252623065901580235e-01
3.500000000000000000e+00,9.258166364092581535e-01,7.211189540738918713e-02,1.337659134336187661e-01
4.000000000000000000e+00,9.161260109568519772e-01,7.707516076180115361e-02,1.735843311975622250e-01
4.500000000000000000e+00,9.465999583365360959e-01,5.070421465804733629e-02,1.303376296901193054e-01
5.000000000000000000e+00,9.810092199706150762e-01,1.865338154733545140e-02,4.134472100661157334e-02
5.500000000000000000e+00,9.833431117347093409e-01,1.655869868501985698e-02,3.124894392309540692e-02
6.000000000000000000e+00,9.847302366661525586e-01,1.506320084037734985e-02,3.777698583246347219e-02
6.500000000000000000e+00,9.949866807368380472e-01,4.989743839628246747e-03,1.329959194877561313e-02
7.000000000000000000e+00,9.993114874003312664e-01,6.882083455136689398e-04,1.553976720347960416e-03
7.500000000000000000e+00,9.996786479446798657e-01,3.212912937086143117e-04,7.167846659038579205e-04
8.000000000000000000e+00,9.990932624807034035e-01,9.059787908390626310e-04,2.406247237027869801e-03
8.500000000000000000e+00,9.982536196469599110e-01,1.743683872967638493e-03,4.461761583709922263e-03
9.000000000000000000e+00,9.988388532088438021e-01,1.160611280363432751e-03,2.326330003041165995e-03
9.500000000000000000e+00,9.993172419207659862e-01,6.823654298351577996e-04,1.538509766338291840e-03
1.000000000000000000e+01,9.994955104227611908e-01,5.042455578288806972e-04,1.339900371112201505e-03
1.050000000000000000e+01,9.999842708316519779e-01,1.572894038781580406e-05,3.786103531444595660e-05
1.100000000000000000e+01,9.999377603899247680e-01,6.223837266813858626e-05,1.037290768918230910e-04
1.150000000000000000e+01,9.999412754861186636e-01,5.872082919353149855e-05,1.237026681799591188e-04
1.200000000000000000e+01,9.999879211366128340e-01,1.207874142916676163e-05,3.003915292820735772e-05
1.250000000000000000e+01,9.999034496411571826e-01,9.654101901393485896e-05,2.217921307177128654e-04
1.300000000000000000e+01,9.997427616863798772e-01,2.572057365973212661e-04,5.300186263608175352e-04
1.350000000000000000e+01,9.998547703858772229e-01,1.452043431461047529e-04,2.906515634173434393e-04
1.400000000000000000e+01,9.999085038521695612e-01,9.149140808509259593e-05,1.979444121456008787e-04
1.450000000000000000e+01,9.999959957841522140e-01,4.004199583435008591e-06,9.143294015134806330e-06
1.500000000000000000e+01,9.998771607788242699e-01,1.228275657625677031e-04,2.963194411615965862e-04
1.550000000000000000e+01,9.999146120089201784e-01,8.537982593723181246e-05,1.763304889292882649e-04
1.600000000000000000e+01,9.999499999850562926e-01,4.999915398445908821e-05,8.860694360079968135e-05
1.650000000000000000e+01,9.999942873373386387e-01,5.712631840598669797e-06,1.353079241872556793e-05
1.700000000000000000e+01,9.998732758248325414e-01,1.267090237495327454e-04,3.327577697469497053e-04
1.750000000000000000e+01,9.999080249395838615e-01,9.196734061026057283e-05,2.040836241563592779e-04
1.800000000000000000e+01,9.999440724494318422e-01,5.592646344138030301e-05,1.049302383268058136e-04
1.850000000000000000e+01,9.999999859464150376e-01,1.405358471262552200e-08,3.530065262324910691e-08
1.900000000000000000e+01,9.999107096419214136e-01,8.928283100245737458e-05,2.387902135533304104e-04
1.950000000000000000e+01,9.999170546805460358e-01,8.294063948161012334e-05,1.883004576178626266e-04
2.000000000000000000e+01,9.999527556768926795e-01,4.724311125298141789e-05,1.038309388565750169e-04
2.050000000000000000e+01,9.999991950851997435e-01,8.049142120880592444e-07,2.124557127558546199e-06
2.100000000000000000e+01,9.999303159466859103e-01,6.967973599023014053e-05,1.805575201243581063e-04
2.150000000000000000e+01,9.999170176674063715e-01,8.297926762690366331e-05,1.732198749911928459e-04
2.200000000000000000e+01,9.999561375608548852e-01,4.386093457492412639e-05,9.966651295600925664e-05
2.250000000000000000e+01,9.999957729214926649e-01,4.227061360523309830e-06,1.130023109796596259e-05
2.300000000000000000e+01,9.999519047556143514e-01,4.809315677992143101e-05,1.177099361202582628e-04
2.350000000000000000e+01,9.999197692599161025e-01,8.022870845372787052e-05,1.347409356233786326e-04
2.400000000000000000e+01,9.999600771291700108e-01,3.992126713078802958e-05,8.602950835590039702e-05
2.450000000000000000e+01,9.999917805616712618e-01,8.219377943485817184e-06,2.101365368645247145e-05
2.500000000000000000e+01,9.999684826794684733e-01,3.151634718862039719e-05,7.320116897813200296e-05
2.550000000000000000e+01,9.999226081897329976e-01,7.738932322995384361e-05,1.496951141709557120e-04
2.600000000000000000e+01,9.999621322459539829e-01,3.786606761974065094e-05,7.646491500246099804e-05
2.650000000000000000e+01,9.999876651347265888e-01,1.233476461387494894e-05,2.816046243103720315e-05
2.700000000000000000e+01,9.999817886082471574e-01,1.821105278607126898e-05,4.145138270161830008e-05
2.750000000000000000e+01,9.999276419668433613e-01,7.235447194633981560e-05,1.667789730004365367e-04
2.800000000000000000e+01,9.999628291593829488e-01,3.716922524460430921e-05,7.526974812810394155e-05
2.850000000000000000e+01,9.999844135756930097e-01,1.558632672152282517e-05,2.975043843789215714e-05
2.900000000000000000e+01,9.999911352499397665e-01,8.864673466113526246e-06,2.064534284351715598e-05
2.950000000000000000e+01,9.999344903544710172e-01,6.550576789710049752e-05,1.682837382439572593e-04
3.000000000000000000e+01,9.999620539784814799e-01,3.794459225683888270e-05,8.215566471236890322e-05
3.050000000000000000e+01,9.999821829384781813e-01,1.781696071834204531e-05,3.046208828583196748e-05
3.100000000000000000e+01,9.999969217739179683e-01,3.078217564012053487e-06,7.562329898624930991e-06
3.150000000000000000e+01,9.999431387567414564e-01,5.685814344538742127e-05,1.520904502471109865e-04
3.200000000000000000e+01,9.999602592507610410e-01,3.973953564009868877e-05,9.038725485788212666e-05
3.250000000000000000e+01,9.999809949703406531e-01,1.900486453781935481e-05,3.999945416466310633e-05
3.300000000000000000e+01,9.999995984502170199e-01,4.015496398723783500e-07,1.043360946750837570e-06
3.350000000000000000e+01,9.999529727221441178e-01,4.702527293812264197e-05,1.238781826721213619e-04
3.400000000000000000e+01,9.999579770409396939e-01,4.202202159750423327e-05,9.191147038167812866e-05
3.450000000000000000e+01,9.999805532085330739e-01,1.944652985683137381e-05,4.419699440760815889e-05
3.500000000000000000e+01,9.999998679119755929e-01,1.320880079203057278e-07,3.534042363195766256e-07
3.550000000000000000e+01,9.999632885825036066e-01,3.671022315601679686e-05,9.196037949488200525e-05
3.600000000000000000e+01,9.999558744333173488e-01,4.412489919744522204e-05,8.202404653534500767e-05
3.650000000000000000e+01,9.999804528458906550e-01,1.954680232629790737e-05,4.327684278249144256e-05
3.700000000000000000e+01,9.999985163689298906e-01,1.483629000209596427e-06,3.889801039380635928e-06
3.750000000000000000e+01,9.999732836180814655e-01,2.671570553441915408e-05,6.317949120027144261e-05
3.800000000000000000e+01,9.999545830766966015e-01,4.541620634262999445e-05,8.091920253661122331e-05
3.850000000000000000e+01,9.999802566793360992e-01,1.974288288467129782e-05,4.071976642661123691e-05
3.900000000000000000e+01,9.999963146748530596e-01,3.685314711898701745e-06,8.874462149255357701e-06
3.950000000000000000e+01,9.999822273524608951e-01,1.777232678462636883e-05,4.057215083430598668e-05
4.000000000000000000e+01,9.999546176572300382e-01,4.538117443803058038e-05,9.825135385432837154e-05
4.050000000000000000e+01,9.999796133902091322e-01,2.038611192994865817e-05,4.080529671890431587e-05
4.100000000000000000e+01,9.999939156993871148e-01,6.084282299451126974e-06,1.256128842885839703e-05
4.150000000000000000e+01,9.999895530016116307e-01,1.044688893589440504e-05,2.399048246504165149e-05
4.200000000000000000e+01,9.999562845186570348e-01,4.371389344920428854e-05,1.084253932412959642e-04
4.250000000000000000e+01,9.999783318155330836e-01,2.166767953881709730e-05,4.552539699909097237e-05
4.300000000000000000e+01,9.999917826647710672e-01,8.217313480413102056e-06,1.383115209052654393e-05
4.350000000000000000e+01,9.999949329978086165e-01,5.066978425033452638e-06,1.215638588392131680e-05
4.400000000000000000e+01,9.999596409910289641e-01,4.035745102975996090e-05,1.070096636399675560e-04
4.450000000000000000e+01,9.999764158171299266e-01,2.358370382607444249e-05,5.297752142130462971e-05
4.500000000000000000e+01,9.999901531406789612e-01,9.846822521308862264e-06,1.936787432654796248e-05
4.550000000000000000e+01,9.999982977233429216e-01,1.702274098680511827e-06,4.330291692999921338e-06
4.600000000000000000e+01,9.999644895248719356e-01,3.550930059975643260e-05,9.465520791707149328e-05
4.650000000000000000e+01,9.999740649246129376e-01,2.593465253206139742e-05,5.842714914039426333e-05
4.700000000000000000e+01,9.999890495390071354e-01,1.095038980936102746e-05,2.446758948404514911e-05
4.750000000000000000e+01,9.999998211896070632e-01,1.788103636268800756e-07,4.750227919902982876e-07
4.800000000000000000e+01,9.999704202078385507e-01,2.957901855685229897e-05,7.583987300119332531e-05
4.850000000000000000e+01,9.999716322046768857e-01,2.836746953807645077e-05,5.730951824911567627e-05
4.900000000000000000e+01,9.999883218080476421e-01,1.167807899879469424e-05,2.638970458646028305e-05
4.950000000000000000e+01,9.999998632854030234e-01,1.367145790742707590e-07,3.641497884343536384e-07
5.000000000000000000e+01,9.999768819921108776e-01,2.311751873423917303e-05,5.592404578813603422e-05
5.050000000000000000e+01,9.999695495140292767e-01,3.045019319877773079e-05,4.969574006774557517e-05
5.100000000000000000e+01,9.999877197004580776e-01,1.228014172652280855e-05,2.608241637047647998e-05
5.150000000000000000e+01,9.999988886060993121e-01,1.111392837538360823e-06,2.796285039297075059e-06
5.200000000000000000e+01,9.999832749075918681e-01,1.672481444808804341e-05,3.857582568889128538e-05
5.250000000000000000e+01,9.999682458145138231e-01,3.175372368144357971e-05,6.375468706276699038e-05
5.300000000000000000e+01,9.999869726574057704e-01,1.302714044573716201e-05,2.614596299443938676e-05
5.350000000000000000e+01,9.999973791273182311e-01,2.620868499891848558e-06,5.814458338582184638e-06
5.400000000000000000e+01,9.999890431965976489e-01,1.095668097850222011e-05,2.496456655465273400e-05
5.450000000000000000e+01,9.999680613639332361e-01,3.193789129007917893e-05,7.548702283022290516e-05
5.500000000000000000e+01,9.999858708590482204e-01,1.412891216467926370e-05,2.887863537093249278e-05
5.550000000000000000e+01,9.999957499222826840e-01,4.250071048567116705e-06,7.815415419720750378e-06
5.600000000000000000e+01,9.999937544598548333e-01,6.245502695428895024e-06,1.466159042662340539e-05
5.650000000000000000e+01,9.999691887337591734e-01,3.081038692370752230e-05,8.010152709458928655e-05
5.700000000000000000e+01,9.999843168712685415e-01,1.568289404335621029e-05,3.438375252029501894e-05
5.750000000000000000e+01,9.999942922816188462e-01,5.707707695035146855e-06,1.022645852777337439e-05
5.800000000000000000e+01,9.999971546204692308e-01,2.845372317678007690e-06,7.063593316924965393e-06
5.850000000000000000e+01,9.999716320636181655e-01,2.836716912915648869e-05,7.594538296085140416e-05
5.900000000000000000e+01,9.999823602421950008e-01,1.763953121650119193e-05,4.015828165471191369e-05
5.950000000000000000e+01,9.999931447934239381e-01,6.855183307397094694e-06,1.474767634468410193e-05
6.000000000000000000e+01,9.999991855316295863e-01,8.144677749455375704e-07,2.132485165118325199e-06
6.050000000000000000e+01,9.999752075415608843e-01,2.479190668475128589e-05,6.486827851570620140e-05
6.100000000000000000e+01,9.999801860869211856e-01,1.981371998549530389e-05,4.255495249938512359e-05
6.150000000000000000e+01,9.999922960450911003e-01,7.703911492989989895e-06,1.753820830252550422e-05
6.200000000000000000e+01,9.999999702352324604e-01,2.976476679017459048e-08,7.970050219796576130e-08
6.250000000000000000e+01,9.999795743188626407e-01,2.042530916346319003e-05,5.065999437969814778e-05
