gammaT,AGF
9.999999999999999547e-07,9.996488556816354176e-01
1.832980710832437485e-06,9.996709676755424212e-01
3.359818286283781079e-06,9.997114034940843830e-01
6.158482110660267368e-06,9.996745181993063056e-01
1.128837891684688340e-05,9.996727004353332946e-01
2.069138081114790017e-05,9.996678206049033344e-01
3.792690190732253704e-05,9.996679202348381921e-01
6.951927961775605607e-05,9.996926950044614513e-01
1.274274985703133418e-04,9.996886794546199217e-01
2.335721469090121423e-04,9.996683224217091102e-01
4.281332398719391269e-04,9.996336726465300249e-01
7.847599703514606404e-04,9.996697001364900359e-01
1.438449888287662891e-03,9.996922994032884091e-01
2.636650898730358294e-03,9.996674652433874542e-01
4.832930238571751802e-03,9.996621615695394647e-01
8.858667904100822610e-03,9.997109417363942985e-01
1.623776739188721036e-02,9.996636204863550423e-01
2.976351441631319358e-02,9.996549783326454941e-01
5.455594781168514318e-02,9.996739989341461019e-01
1.000000000000000056e-01,9.996281998481919562e-01
