T,AGF,Avg_Leakage,Unitary_Error
1.000000000000000000e+00,9.999528786835025773e-01,4.711908252313934398e-05,1.091486215971659846e-04
1.500000000000000000e+00,9.999813584927477184e-01,1.864120082367692888e-05,4.196929967481555224e-05
2.000000000000000000e+00,9.999514843698615874e-01,4.851332959721066374e-05,1.172694447069133616e-04
2.500000000000000000e+00,9.999765065610676240e-01,2.349304483179048830e-05,6.057602134734718646e-05
3.000000000000000000e+00,9.999651096054403832e-01,3.488924274633320444e-05,8.987610167832116304e-05
3.500000000000000000e+00,9.999772992993449794e-01,2.270027994022427720e-05,6.233583451664692632e-05
4.000000000000000000e+00,9.999636209045620339e-01,3.637783645457637327e-05,9.896496372019392140e-05
4.500000000000000000e+00,9.999682902884818869e-01,3.170875468452849510e-05,8.928517816264580631e-05
5.000000000000000000e+00,9.999763023415738639e-01,2.369712390881684172e-05,6.860553298304594705e-05
5.500000000000000000e+00,9.999723098893674722e-01,2.768935636349167950e-05,7.820013556192328963e-05
6.000000000000000000e+00,9.999773691630208239e-01,2.263033656371704616e-05,6.688545526212230641e-05
6.500000000000000000e+00,9.999651478455240383e-01,3.485100963698806176e-05,9.424931380674905768e-05
7.000000000000000000e+00,9.999849697742956289e-01,1.503000569041956780e-05,4.309406453506525736e-05
7.500000000000000000e+00,9.999708275554256565e-01,2.917166983085195398e-05,7.662904774130563368e-05
8.000000000000000000e+00,9.999849423554953987e-01,1.505742649415831025e-05,4.196838522108059522e-05
8.500000000000000000e+00,9.999631795128044454e-01,3.681932795793207980e-05,9.063386781626991962e-05
9.000000000000000000e+00,9.999887416223398606e-01,1.125823293238181755e-05,2.551527408312104228e-05
9.500000000000000000e+00,9.999710518044635510e-01,2.894748064466434734e-05,6.802313497433765122e-05
1.000000000000000000e+01,9.999892069826523677e-01,1.079288238528541832e-05,2.341511124726025628e-05
1.050000000000000000e+01,9.999655324280471991e-01,3.446654192937326222e-05,7.771926537747386732e-05
1.100000000000000000e+01,9.999892670370877923e-01,1.073284423155906886e-05,2.261575245054991967e-05
1.150000000000000000e+01,9.999741251567740852e-01,2.587425069705551195e-05,5.699279939408441464e-05
1.200000000000000000e+01,9.999899283823490137e-01,1.007151744000789328e-05,2.020524375523358174e-05
1.250000000000000000e+01,9.999697513266270210e-01,3.024784172156458339e-05,6.699419654720983885e-05
1.300000000000000000e+01,9.999870109582758015e-01,1.298895157367252473e-05,2.643459132012360158e-05
