t, Stokes_half_amp, Pump1_half_amp, Pump2_half_amp
0.000000000000000000e+00,7.811489408304490974e-07,9.820259283654170350e-12,-9.820259283654170350e-12
8.008008008008007939e-02,8.419669079274206801e-07,1.085306388077665016e-11,-1.085306388077665016e-11
1.601601601601601588e-01,9.073381343657726805e-07,1.199208590915945100e-11,-1.199208590915945100e-11
2.402402402402402382e-01,9.775889248819006569e-07,1.324799239038233441e-11,-1.324799239038233441e-11
3.203203203203203175e-01,1.053067836767572923e-06,1.463249471853658870e-11,-1.463249471853658870e-11
4.004004004004003692e-01,1.134147112615858472e-06,1.615844815774154763e-11,-1.615844815774154763e-11
4.804804804804804763e-01,1.221224199199127769e-06,1.783996054301045768e-11,-1.783996054301045768e-11
5.605605605605605835e-01,1.314723357233092890e-06,1.969251100878620648e-11,-1.969251100878620648e-11
6.406406406406406351e-01,1.415097367015106505e-06,2.173307964072834044e-11,-2.173307964072834044e-11
7.207207207207206867e-01,1.522829335168722459e-06,2.398028902351341956e-11,-2.398028902351341956e-11
8.008008008008007383e-01,1.638434607980563162e-06,2.645455874098459364e-11,-2.645455874098459364e-11
8.808808808808809010e-01,1.762462797079728990e-06,2.917827397545594383e-11,-2.917827397545594383e-11
9.609609609609609526e-01,1.895499923484826768e-06,3.217596945089123900e-11,-3.217596945089123900e-11
1.041041041041041115e+00,2.038170686329454305e-06,3.547453007061515429e-11,-3.547453007061515429e-11
1.121121121121121167e+00,2.191140862873935847e-06,3.910340971480757978e-11,-3.910340971480757978e-11
1.201201201201201219e+00,2.355119846719555659e-06,4.309486978695635372e-11,-4.309486978695635372e-11
1.281281281281281270e+00,2.530863331461635767e-06,4.748423923241923574e-11,-4.748423923241923574e-11
1.361361361361361322e+00,2.719176147350296113e-06,5.231019789705602481e-11,-5.231019789705602481e-11
1.441441441441441373e+00,2.920915258872174086e-06,5.761508525036489197e-11,-5.761508525036489197e-11
1.521521521521521425e+00,3.136992931523746808e-06,6.344523666659794733e-11,-6.344523666659794733e-11
1.601601601601601477e+00,3.368380076417131488e-06,6.985134963988889824e-11,-6.985134963988889824e-11
1.681681681681681750e+00,3.616109781742479646e-06,7.688888250654274344e-11,-7.688888250654274344e-11
1.761761761761761802e+00,3.881281040508061636e-06,8.461848846040356604e-11,-8.461848846040356604e-11
1.841841841841841854e+00,4.165062684389477498e-06,9.310648787683322431e-11,-9.310648787683322431e-11
1.921921921921921905e+00,4.468697533944070243e-06,1.024253822085477924e-10,-1.024253822085477924e-10
2.002002002002002179e+00,4.793506775885103315e-06,1.126544129837462642e-10,-1.126544129837462642e-10
2.082082082082082231e+00,5.140894578563367339e-06,1.238801697250613954e-10,-1.238801697250613954e-10
2.162162162162162282e+00,5.512352957271544651e-06,1.361972509184437673e-10,-1.361972509184437673e-10
2.242242242242242334e+00,5.909466901469102964e-06,1.497089824957958642e-10,-1.497089824957958642e-10
2.322322322322322385e+00,6.333919776522787242e-06,1.645281986558047190e-10,-1.645281986558047190e-10
2.402402402402402437e+00,6.787499013070564982e-06,1.807780902358612628e-10,-1.807780902358612628e-10
2.482482482482482489e+00,7.272102097644482480e-06,1.985931262662628129e-10,-1.985931262662628129e-10
2.562562562562562540e+00,7.789742878731163963e-06,2.181200547882181156e-10,-2.181200547882181156e-10
2.642642642642642592e+00,8.342558203007543324e-06,2.395189895018415548e-10,-2.395189895018415548e-10
2.722722722722722644e+00,8.932814897063331367e-06,2.629645893318384649e-10,-2.629645893318384649e-10
2.802802802802802695e+00,9.562917110511856057e-06,2.886473385595472893e-10,-2.886473385595472893e-10
2.882882882882882747e+00,1.023541403699619880e-05,3.167749357732910824e-10,-3.167749357732910824e-10
2.962962962962962798e+00,1.095300803021851725e-05,3.475738005375619241e-10,-3.475738005375619241e-10
3.043043043043042850e+00,1.171856313275692940e-05,3.812907073786945129e-10,-3.812907073786945129e-10
3.123123123123122902e+00,1.253511403608655760e-05,4.181945574337366967e-10,-4.181945574337366967e-10
3.203203203203202953e+00,1.340587549088804932e-05,4.585782989139109855e-10,-4.585782989139109855e-10
3.283283283283283449e+00,1.433425218740988646e-05,5.027610083982058756e-10,-5.027610083982058756e-10
3.363363363363363501e+00,1.532384912634754550e-05,5.510901459004719490e-10,-5.510901459004719490e-10
3.443443443443443552e+00,1.637848250141455309e-05,6.039439976492376073e-10,-6.039439976492376073e-10
3.523523523523523604e+00,1.750219111550753025e-05,6.617343215880930574e-10,-6.617343215880930574e-10
3.603603603603603656e+00,1.869924835310614848e-05,7.249092117508196129e-10,-7.249092117508196129e-10
3.683683683683683707e+00,1.997417473230407757e-05,7.939561988949051528e-10,-7.939561988949051528e-10
3.763763763763763759e+00,2.133175106063341756e-05,8.694056060952239038e-10,-8.694056060952239038e-10
3.843843843843843811e+00,2.277703221962437750e-05,9.518341794124755506e-10,-9.518341794124755506e-10
3.923923923923923862e+00,2.431536160383376661e-05,1.041869015265078814e-09,-1.041869015265078814e-09
4.004004004004004358e+00,2.595238624087861369e-05,1.140191807754966229e-09,-1.140191807754966229e-09
4.084084084084084409e+00,2.769407261982472082e-05,1.247543440934753834e-09,-1.247543440934753834e-09
4.164164164164164461e+00,2.954672325610275529e-05,1.364728952863546436e-09,-1.364728952863546436e-09
4.244244244244244513e+00,3.151699402195693058e-05,1.492622900289059149e-09,-1.492622900289059149e-09
4.324324324324324564e+00,3.361191227227123483e-05,1.632175154923899455e-09,-1.632175154923899455e-09
4.404404404404404616e+00,3.583889579646573728e-05,1.784417164562432015e-09,-1.784417164562432015e-09
4.484484484484484668e+00,3.820577262800557136e-05,1.950468714721450600e-09,-1.950468714721450600e-09
4.564564564564564719e+00,4.072080174392576202e-05,2.131545229093370960e-09,-2.131545229093370960e-09
4.644644644644644771e+00,4.339269468762773561e-05,2.328965649885308856e-09,-2.328965649885308856e-09
4.724724724724724823e+00,4.623063814906512857e-05,2.544160942093079708e-09,-2.544160942093079708e-09
4.804804804804804874e+00,4.924431753727757780e-05,2.778683268937661092e-09,-2.778683268937661092e-09
4.884884884884884926e+00,5.244394158106334815e-05,3.034215889086324404e-09,-3.034215889086324404e-09
4.964964964964964977e+00,5.584026799435245911e-05,3.312583829904556232e-09,-3.312583829904556232e-09
5.045045045045045029e+00,5.944463024352344152e-05,3.615765394852953421e-09,-3.615765394852953421e-09
5.125125125125125081e+00,6.326896545437144220e-05,3.945904567270174194e-09,-3.945904567270174194e-09
5.205205205205205132e+00,6.732584349647925746e-05,4.305324377185499610e-09,-4.305324377185499610e-09
5.285285285285285184e+00,7.162849728195134775e-05,4.696541302498991210e-09,-4.696541302498991210e-09
5.365365365365365236e+00,7.619085431304238793e-05,5.122280780871496790e-09,-5.122280780871496790e-09
5.445445445445445287e+00,8.102756950767438595e-05,5.585493914000966080e-09,-5.585493914000966080e-09
5.525525525525525339e+00,8.615405932048313879e-05,6.089375451643430565e-09,-6.089375451643430565e-09
5.605605605605605390e+00,9.158653715503736932e-05,6.637383148789795739e-09,-6.637383148789795739e-09
5.685685685685685442e+00,9.734205002180086033e-05,7.233258595854795156e-09,-7.233258595854795156e-09
5.765765765765765494e+00,1.034385163218500697e-04,7.881049628593870714e-09,-7.881049628593870714e-09
5.845845845845845545e+00,1.098947645042321118e-04,8.585134431764983183e-09,-8.585134431764983183e-09
5.925925925925925597e+00,1.167305721157557192e-04,9.350247458318564641e-09,-9.350247458318564641e-09
6.006006006006005649e+00,1.239667043729690077e-04,1.018150729415846530e-08,-1.018150729415846530e-08
6.086086086086085700e+00,1.316249507385032231e-04,1.108444660729900230e-08,-1.108444660729900230e-08
6.166166166166165752e+00,1.397281569270509042e-04,1.206504432957687188e-08,-1.206504432957687188e-08
6.246246246246245803e+00,1.483002480743225585e-04,1.312976022899487624e-08,-1.312976022899487624e-08
6.326326326326325855e+00,1.573662361453442295e-04,1.428557204130877169e-08,-1.428557204130877169e-08
6.406406406406405907e+00,1.669522005647828232e-04,1.554001534065641557e-08,-1.554001534065641557e-08
6.486486486486486847e+00,1.770852248633710360e-04,1.690122634090365242e-08,-1.690122634090365242e-08
6.566566566566566898e+00,1.877932629546016246e-04,1.837798783198508932e-08,-1.837798783198508932e-08
6.646646646646646950e+00,1.991048952948248451e-04,1.997977846888801475e-08,-1.997977846888801475e-08
6.726726726726727001e+00,2.110489161001224132e-04,2.171682564510949317e-08,-2.171682564510949317e-08
6.806806806806807053e+00,2.236536660646599236e-04,2.360016219745182213e-08,-2.360016219745182213e-08
6.886886886886887105e+00,2.369459882995110110e-04,2.564168720495624302e-08,-2.564168720495624302e-08
6.966966966966967156e+00,2.509496357315286574e-04,2.785423116166326901e-08,-2.785423116166326901e-08
7.047047047047047208e+00,2.656828928632197690e-04,3.025162582077105608e-08,-3.025162582077105608e-08
7.127127127127127260e+00,2.811550902720954636e-04,3.284877902670338622e-08,-3.284877902670338622e-08
7.207207207207207311e+00,2.973615831942919051e-04,3.566175487165014633e-08,-3.566175487165014633e-08
7.287287287287287363e+00,3.142766329824249363e-04,3.870785953435492657e-08,-3.870785953435492657e-08
7.367367367367367414e+00,3.318434698903250692e-04,4.200573318137208457e-08,-4.200573318137208457e-08
7.447447447447447466e+00,3.499606265478327305e-04,4.557544833475010744e-08,-4.557544833475010744e-08
7.527527527527527518e+00,3.684634146086020884e-04,4.943861513519035925e-08,-4.943861513519035925e-08
7.607607607607607569e+00,3.870991759802620076e-04,5.361849395625300092e-08,-5.361849395625300092e-08
7.687687687687687621e+00,4.054946817320293395e-04,5.814011585320032988e-08,-5.814011585320032988e-08
7.767767767767767673e+00,4.231137871923945745e-04,6.303041135966571187e-08,-6.303041135966571187e-08
7.847847847847847724e+00,4.392031964123527341e-04,6.831834817658753142e-08,-6.831834817658753142e-08
7.927927927927927776e+00,4.527239634125064375e-04,7.403507833085054568e-08,-7.403507833085054568e-08
8.008008008008008716e+00,4.622661865440748060e-04,8.021409541592099021e-08,-8.021409541592099021e-08
8.088088088088088767e+00,4.659442652102162383e-04,8.689140256355843861e-08,-8.689140256355843861e-08
8.168168168168168819e+00,4.612701176686279407e-04,9.410569183461247947e-08,-9.410569183461247947e-08
8.248248248248248871e+00,4.450019388464477319e-04,1.018985357580952013e-07,-1.018985357580952013e-07
8.328328328328328922e+00,4.129664416941844995e-04,1.103145917915194973e-07,-1.103145917915194973e-07
8.408408408408408974e+00,3.598531050472865553e-04,1.194018205222628681e-07,-1.194018205222628681e-07
8.488488488488489025e+00,2.789797694864554569e-04,1.292117184801585085e-07,-1.292117184801585085e-07
8.568568568568569077e+00,1.620299950653007227e-04,1.397995664866732967e-07,-1.397995664866732967e-07
8.648648648648649129e+00,-1.236076858918697466e-06,1.512246945276098159e-07,-1.512246945276098159e-07
8.728728728728729180e+00,-2.232940444401624539e-04,1.635507642069662777e-07,-1.635507642069662777e-07
8.808808808808809232e+00,-5.191856528721788691e-04,1.768460699236321282e-07,-1.768460699236321282e-07
8.888888888888889284e+00,-9.068602481353292338e-04,1.911838600165742327e-07,-1.911838600165742327e-07
8.968968968968969335e+00,-1.407518198455446918e-03,2.066426792580222828e-07,-2.066426792580222828e-07
9.049049049049049387e+00,-2.045945158856786635e-03,2.233067342527557071e-07,-2.233067342527557071e-07
9.129129129129129439e+00,-2.850824098703208867e-03,2.412662835466180008e-07,-2.412662835466180008e-07
9.209209209209209490e+00,-3.855010253929255521e-03,2.606180545898612462e-07,-2.606180545898612462e-07
9.289289289289289542e+00,-5.095752712094914552e-03,2.814656901842537281e-07,-2.814656901842537281e-07
9.369369369369369593e+00,-6.614845288363053327e-03,3.039202277265755057e-07,-3.039202277265755057e-07
9.449449449449449645e+00,-8.458688784148508943e-03,3.281006155247255162e-07,-3.281006155247255162e-07
