gammaT,AGF
9.999999999999999547e-07,9.999736893038674301e-01
1.832980710832437485e-06,9.999704889545019126e-01
3.359818286283781079e-06,9.999691198914785195e-01
6.158482110660267368e-06,9.999656912206029702e-01
1.128837891684688340e-05,9.999740016296092548e-01
2.069138081114790017e-05,9.999725258748439760e-01
3.792690190732253704e-05,9.999704437495613440e-01
6.951927961775605607e-05,9.999708968337234216e-01
1.274274985703133418e-04,9.999683925084213998e-01
2.335721469090121423e-04,9.999693684538649707e-01
4.281332398719391269e-04,9.999751323693408800e-01
7.847599703514606404e-04,9.999679133816158361e-01
1.438449888287662891e-03,9.999702127243793592e-01
2.636650898730358294e-03,9.999693916894178969e-01
4.832930238571751802e-03,9.999666828715945144e-01
8.858667904100822610e-03,9.999639367398057699e-01
1.623776739188721036e-02,9.999589819375777067e-01
2.976351441631319358e-02,9.999530540713962301e-01
5.455594781168514318e-02,9.999432663904612717e-01
1.000000000000000056e-01,9.999106925069040086e-01
