T,AGF,Avg_Leakage,Unitary_Error
1.000000000000000000e+00,9.999532550621410554e-01,4.674273974580867019e-05,1.082798715054122951e-04
1.500000000000000000e+00,9.999815464746815152e-01,1.845322440074959047e-05,4.148572802131766935e-05
2.000000000000000000e+00,9.999513303984141066e-01,4.866728585534163543e-05,1.175470392615896031e-04
2.500000000000000000e+00,9.999764022046422340e-01,2.359739692051054938e-05,6.079965051619673488e-05
3.000000000000000000e+00,9.999645873688847164e-01,3.541144423396813679e-05,9.122911003833777954e-05
3.500000000000000000e+00,9.999769176925450420e-01,2.308187211866319366e-05,6.340951765526625650e-05
4.000000000000000000e+00,9.999638503022041380e-01,3.614845625546370123e-05,9.847192993106546055e-05
4.500000000000000000e+00,9.999684084923753380e-01,3.159055678131350575e-05,8.887938022383856662e-05
5.000000000000000000e+00,9.999766321985426032e-01,2.336728136248522603e-05,6.765162800381752106e-05
5.500000000000000000e+00,9.999726434031994682e-01,2.735586014138147171e-05,7.733926456321427167e-05
6.000000000000000000e+00,9.999771930760339433e-01,2.280641501453684050e-05,6.740059897603067895e-05
6.500000000000000000e+00,9.999649287645832052e-01,3.507007570124898166e-05,9.490809100753949679e-05
7.000000000000000000e+00,9.999848677546037123e-01,1.513202189570850287e-05,4.337009214494536025e-05
7.500000000000000000e+00,9.999706810000473789e-01,2.931821812993118392e-05,7.693636389050073632e-05
8.000000000000000000e+00,9.999849954481199177e-01,1.500433502144016273e-05,4.176759375529304208e-05
8.500000000000000000e+00,9.999632599620706941e-01,3.673888502095379316e-05,9.037730824212886205e-05
9.000000000000000000e+00,9.999887947234000762e-01,1.120513305166714879e-05,2.537555717341266615e-05
9.500000000000000000e+00,9.999711643690025742e-01,2.883492111852015150e-05,6.778223379422243511e-05
1.000000000000000000e+01,9.999891963214789792e-01,1.080354331511879096e-05,2.348080949332587153e-05
1.050000000000000000e+01,9.999654259215411400e-01,3.457304127529869930e-05,7.797499719774947380e-05
1.100000000000000000e+01,9.999892330580320010e-01,1.076682260658934354e-05,2.268611107436591112e-05
1.150000000000000000e+01,9.999741215186827015e-01,2.587788912913890904e-05,5.698676869014818180e-05
