T,AGF,Avg_Leakage
1.000000000000000000e+00,6.634357497405170001e-01,9.986247925688607197e-02
1.500000000000000000e+00,2.438428536926344758e-01,2.171079084924081304e-01
2.000000000000000000e+00,1.984486533232751315e-01,2.128948852286530746e-01
2.500000000000000000e+00,6.930899814255974123e-01,1.927652370798482728e-01
3.000000000000000000e+00,9.304441583039254615e-01,6.346347377420236135e-02
3.500000000000000000e+00,9.156288076116914088e-01,7.419018147501987848e-02
4.000000000000000000e+00,7.828570226185103120e-01,1.485725830383474166e-01
4.500000000000000000e+00,9.281238967603409051e-01,6.332099650871214624e-02
5.000000000000000000e+00,9.762142518508500899e-01,2.344692154332972400e-02
5.500000000000000000e+00,9.784728634083281751e-01,2.109711236190892070e-02
6.000000000000000000e+00,9.619178437450353059e-01,3.595371157155091701e-02
6.500000000000000000e+00,9.909269051938472961e-01,8.942811441388309746e-03
7.000000000000000000e+00,9.990402976710131000e-01,9.591477540967785487e-04
7.500000000000000000e+00,9.995510777926940316e-01,4.487941050418386979e-04
8.000000000000000000e+00,9.982445616847316350e-01,1.750634110385340669e-03
8.500000000000000000e+00,9.957783699930171650e-01,4.195136350023886962e-03
9.000000000000000000e+00,9.984516214506626852e-01,1.546376607888366728e-03
9.500000000000000000e+00,9.991062350248085533e-01,8.933239894830524719e-04
1.000000000000000000e+01,9.992845932585041613e-01,7.144725394374606964e-04
1.050000000000000000e+01,9.999536558845598666e-01,4.634095091149426082e-05
1.100000000000000000e+01,9.999277699373742001e-01,7.222337415035973152e-05
1.150000000000000000e+01,9.999343713943025236e-01,6.562516395769435462e-05
1.200000000000000000e+01,9.999867394488942685e-01,1.326016172753519129e-05
1.250000000000000000e+01,9.996850436280423358e-01,3.148097936389593343e-04
1.300000000000000000e+01,9.997364418053408253e-01,2.634226947059170598e-04
1.350000000000000000e+01,9.998545043868022342e-01,1.454703819792069197e-04
1.400000000000000000e+01,9.999074079394603132e-01,9.257402970686001709e-05
1.450000000000000000e+01,9.999867786871072806e-01,1.322105446577293009e-05
1.500000000000000000e+01,9.998707313582475553e-01,1.292308669587072245e-04
1.550000000000000000e+01,9.999085395710395341e-01,9.145266622712089344e-05
1.600000000000000000e+01,9.999443639366120129e-01,5.563155388199625406e-05
1.650000000000000000e+01,9.999825124653767272e-01,1.748708359250450428e-05
1.700000000000000000e+01,9.998350823790355113e-01,1.648647308996054051e-04
1.750000000000000000e+01,9.998845441811002877e-01,1.154480657604706195e-04
1.800000000000000000e+01,9.999280966485104560e-01,7.189847364896806425e-05
1.850000000000000000e+01,9.999999633164755597e-01,3.668352244190486999e-08
1.900000000000000000e+01,9.998440393373160262e-01,1.559211601349641541e-04
1.950000000000000000e+01,9.998849796662432343e-01,1.150126405913276528e-04
2.000000000000000000e+01,9.999341858384684922e-01,6.581126115856594794e-05
2.050000000000000000e+01,9.999983467014341709e-01,1.653294369630131655e-06
2.100000000000000000e+01,9.998400141498577920e-01,1.599474698474878664e-04
2.150000000000000000e+01,9.998869331690485307e-01,1.130570321700163916e-04
2.200000000000000000e+01,9.999409541660657652e-01,5.904391722832968981e-05
2.250000000000000000e+01,9.999935060162318257e-01,6.493910559846050035e-06
2.300000000000000000e+01,9.998643547215608773e-01,1.356181579216242383e-04
2.350000000000000000e+01,9.999027332351875241e-01,9.725610794009131865e-05
2.400000000000000000e+01,9.999531327082653576e-01,4.686579049106853745e-05
2.450000000000000000e+01,9.999903880156129077e-01,9.611788973740154063e-06
2.500000000000000000e+01,9.998993821097001966e-01,1.006029458259227738e-04
2.550000000000000000e+01,9.999183823290509476e-01,8.160609284368902649e-05
2.600000000000000000e+01,9.999613385575620850e-01,3.865978459927088551e-05
2.650000000000000000e+01,9.999874730772365661e-01,1.252657310524263323e-05
2.700000000000000000e+01,9.999395178169097065e-01,6.047677357667868847e-05
2.750000000000000000e+01,9.999262597690966592e-01,7.372803852012665971e-05
2.800000000000000000e+01,9.999618232480530500e-01,3.817517162696404398e-05
2.850000000000000000e+01,9.999834425519595893e-01,1.655698365987667842e-05
2.900000000000000000e+01,9.999718520361312590e-01,2.814679456064617113e-05
2.950000000000000000e+01,9.999222433226530038e-01,7.774404047511396243e-05
3.000000000000000000e+01,9.999549878856027751e-01,4.501076981189289228e-05
3.050000000000000000e+01,9.999782044588638730e-01,2.179502013144318795e-05
3.100000000000000000e+01,9.999914067637570847e-01,8.593127390321697590e-06
3.150000000000000000e+01,9.999110666885501209e-01,8.891972521574142974e-05
3.200000000000000000e+01,9.999462182294081014e-01,5.378017450696770396e-05
3.250000000000000000e+01,9.999739988769256183e-01,2.600061466262459930e-05
3.300000000000000000e+01,9.999990903961867295e-01,9.096025702648447009e-07
3.350000000000000000e+01,9.999020238219504808e-01,9.796150001539771779e-05
3.400000000000000000e+01,9.999415496503873957e-01,5.844802731647114058e-05
3.450000000000000000e+01,9.999730942510451914e-01,2.690533191473942765e-05
3.500000000000000000e+01,9.999997725637754797e-01,2.274361401433111496e-07
3.550000000000000000e+01,9.999034788705853938e-01,9.650735980770708267e-05
3.600000000000000000e+01,9.999435611520869349e-01,5.643579416647614977e-05
3.650000000000000000e+01,9.999755971695680756e-01,2.440248052226756670e-05
3.700000000000000000e+01,9.999980870664403332e-01,1.912926383740298775e-06
3.750000000000000000e+01,9.999179401513303977e-01,8.204992063709504180e-05
3.800000000000000000e+01,9.999496457496187540e-01,5.035051509760801736e-05
3.850000000000000000e+01,9.999789127816895995e-01,2.108680139678575927e-05
3.900000000000000000e+01,9.999961301735792452e-01,3.869792545962980057e-06
3.950000000000000000e+01,9.999413040314866219e-01,5.869087517040849633e-05
4.000000000000000000e+01,9.999540820126313623e-01,4.591354894856181090e-05
4.050000000000000000e+01,9.999795772624089363e-01,2.042224049325636059e-05
4.100000000000000000e+01,9.999937719624693022e-01,6.227961598881393002e-06
4.150000000000000000e+01,9.999658833382308876e-01,3.411494175620255476e-05
4.200000000000000000e+01,9.999522293814255836e-01,4.776555229257795077e-05
4.250000000000000000e+01,9.999759219337882588e-01,2.407759393285857641e-05
4.300000000000000000e+01,9.999905291795055939e-01,9.470703117964163198e-06
4.350000000000000000e+01,9.999849493729072725e-01,1.505029329940121841e-05
4.400000000000000000e+01,9.999439552706531620e-01,5.603890602146055500e-05
4.450000000000000000e+01,9.999694534474397045e-01,3.054603337959704845e-05
4.500000000000000000e+01,9.999870053121583391e-01,1.299454157854817993e-05
4.550000000000000000e+01,9.999957627669013860e-01,4.237206453261421757e-06
4.600000000000000000e+01,9.999339240206289725e-01,6.606906672401713365e-05
4.650000000000000000e+01,9.999638083613703321e-01,3.619084057426835699e-05
4.700000000000000000e+01,9.999847008963461681e-01,1.529895579333029332e-05
4.750000000000000000e+01,9.999996533857753445e-01,3.466140371388704011e-07
4.800000000000000000e+01,9.999287052353095229e-01,7.128719379900783082e-05
4.850000000000000000e+01,9.999620123359388435e-01,3.798647775843377872e-05
4.900000000000000000e+01,9.999846063628883286e-01,1.539350692292273948e-05
4.950000000000000000e+01,9.999998020405286292e-01,1.979594004275497809e-07
5.000000000000000000e+01,9.999327433808697929e-01,6.724995305218417485e-05
5.050000000000000000e+01,9.999641372479899371e-01,3.586117391951582078e-05
5.100000000000000000e+01,9.999860309884607279e-01,1.396886450621970255e-05
