T,AGF,Avg_Leakage
1.000000000000000000e+00,9.998476265522393547e-01,1.523391065760826280e-04
1.500000000000000000e+00,9.999812934006382381e-01,1.870624428867984079e-05
2.000000000000000000e+00,9.998492470367693619e-01,1.507192720855421442e-04
2.500000000000000000e+00,9.999741906429161498e-01,2.580852701328240073e-05
3.000000000000000000e+00,9.998999914181126991e-01,9.999371835434089917e-05
3.500000000000000000e+00,9.999720497172519540e-01,2.794914838766260345e-05
4.000000000000000000e+00,9.999084508601775445e-01,9.153655400973015333e-05
4.500000000000000000e+00,9.999538773576823747e-01,4.611910647422945431e-05
5.000000000000000000e+00,9.999515785045207661e-01,4.841799553034764614e-05
5.500000000000000000e+00,9.999534561171319336e-01,4.654036621798418594e-05
6.000000000000000000e+00,9.999586918533827085e-01,4.130555279324710227e-05
6.500000000000000000e+00,9.999290796427494632e-01,7.091253855495693870e-05
7.000000000000000000e+00,9.999792684283195232e-01,2.073096011456776466e-05
7.500000000000000000e+00,9.999321421811682153e-01,6.785086950999996702e-05
8.000000000000000000e+00,9.999814890731186789e-01,1.851045278422613904e-05
8.500000000000000000e+00,9.999038704831282320e-01,9.611601422099269598e-05
9.000000000000000000e+00,9.999885706606030933e-01,1.142917574981083817e-05
9.500000000000000000e+00,9.999171668150953485e-01,8.282328121012039190e-05
1.000000000000000000e+01,9.999891183189635324e-01,1.088153558437277013e-05
1.050000000000000000e+01,9.998940040483180747e-01,1.059798811751111458e-04
1.100000000000000000e+01,9.999890937391882062e-01,1.090614075582863052e-05
1.150000000000000000e+01,9.999174189478899910e-01,8.257136202272086223e-05
1.200000000000000000e+01,9.999898617914565468e-01,1.013810699501682677e-05
1.250000000000000000e+01,9.999022592196172843e-01,9.772717143807785334e-05
1.300000000000000000e+01,9.999869261742599935e-01,1.307366282476962738e-05
1.350000000000000000e+01,9.999326755866642102e-01,6.731803311876838336e-05
1.400000000000000000e+01,9.999883150647566055e-01,1.168479661217691756e-05
1.450000000000000000e+01,9.999258974520375265e-01,7.409472336061817543e-05
1.500000000000000000e+01,9.999824579864615703e-01,1.754150836674739367e-05
1.550000000000000000e+01,9.999555905570958192e-01,4.440669779315342680e-05
1.600000000000000000e+01,9.999837454970051942e-01,1.625406389216266234e-05
1.650000000000000000e+01,9.999538375993894945e-01,4.615935068152943188e-05
1.700000000000000000e+01,9.999730181807088281e-01,2.698049076066411089e-05
1.750000000000000000e+01,9.999763600734230540e-01,2.363916179493052994e-05
1.800000000000000000e+01,9.999745415413610061e-01,2.545735650560931873e-05
1.850000000000000000e+01,9.999763085150199515e-01,2.369067759022680519e-05
1.900000000000000000e+01,9.999583204947297688e-01,4.167674564214962629e-05
1.950000000000000000e+01,9.999888495123598897e-01,1.115032353937728260e-05
2.000000000000000000e+01,9.999622614307972501e-01,3.773641779891701020e-05
2.050000000000000000e+01,9.999888094493440960e-01,1.119037973229541905e-05
2.100000000000000000e+01,9.999427009075159134e-01,5.729435770585045162e-05
2.150000000000000000e+01,9.999929647162499879e-01,7.035222241991156977e-06
2.200000000000000000e+01,9.999520332426247160e-01,4.796350327529452784e-05
2.250000000000000000e+01,9.999930434258216261e-01,6.956514143618974799e-06
2.300000000000000000e+01,9.999331905883777072e-01,6.680317389073930912e-05
2.350000000000000000e+01,9.999924684785327367e-01,7.531466918342388794e-06
2.400000000000000000e+01,9.999493414593881857e-01,5.065499602008305402e-05
2.450000000000000000e+01,9.999932660538786156e-01,6.733901624311755540e-06
2.500000000000000000e+01,9.999348004554484692e-01,6.519363686574575212e-05
2.550000000000000000e+01,9.999907343669471871e-01,9.265548387871191949e-06
2.600000000000000000e+01,9.999560641725935284e-01,4.393319814899321329e-05
2.650000000000000000e+01,9.999922512248133888e-01,7.748716705835434482e-06
2.700000000000000000e+01,9.999471405443104421e-01,5.285557558976083925e-05
2.750000000000000000e+01,9.999881014270324275e-01,1.189833106185478329e-05
2.800000000000000000e+01,9.999690920137498384e-01,3.090671152583546188e-05
2.850000000000000000e+01,9.999898164332282624e-01,1.018339287295333406e-05
2.900000000000000000e+01,9.999647508126854323e-01,3.524746323457783603e-05
2.950000000000000000e+01,9.999826406091468778e-01,1.735878724196115996e-05
3.000000000000000000e+01,9.999825127453252360e-01,1.748686022318146627e-05
3.050000000000000000e+01,9.999845262182297523e-01,1.547334577123304911e-05
3.100000000000000000e+01,9.999807245667658995e-01,1.927491746234188952e-05
3.150000000000000000e+01,9.999731766411164013e-01,2.682214046001440977e-05
3.200000000000000000e+01,9.999914847840687404e-01,8.515125083707886233e-06
3.250000000000000000e+01,9.999764799249707403e-01,2.351920882337488194e-05
3.300000000000000000e+01,9.999907387695532446e-01,9.261113999459169577e-06
3.350000000000000000e+01,9.999616556058743555e-01,3.834224519905227169e-05
3.400000000000000000e+01,9.999947925582578501e-01,5.207407812624076371e-06
3.450000000000000000e+01,9.999684869183950164e-01,3.151167806936250315e-05
3.500000000000000000e+01,9.999946685434322191e-01,5.331420629861582938e-06
3.550000000000000000e+01,9.999527366303799791e-01,4.726027964463419551e-05
3.600000000000000000e+01,9.999944282206678636e-01,5.571748853294700154e-06
3.650000000000000000e+01,9.999645819998346230e-01,3.541629455350303601e-05
3.700000000000000000e+01,9.999950923370144462e-01,4.907637850326551643e-06
3.750000000000000000e+01,9.999509132332210504e-01,4.908347279730662649e-05
3.800000000000000000e+01,9.999929903850546253e-01,7.009568523397291528e-06
3.850000000000000000e+01,9.999671814048241014e-01,3.281715807912366500e-05
3.900000000000000000e+01,9.999944128470563687e-01,5.587124811690102888e-06
3.950000000000000000e+01,9.999574581234114135e-01,4.253940610443596171e-05
4.000000000000000000e+01,9.999912785901166057e-01,8.721287001689503882e-06
4.050000000000000000e+01,9.999752644447598149e-01,2.473475950459658179e-05
4.100000000000000000e+01,9.999930549716549155e-01,6.944953459431246756e-06
4.150000000000000000e+01,9.999695495336066164e-01,3.044920448147525605e-05
4.200000000000000000e+01,9.999880386181503322e-01,1.196107433354409721e-05
4.250000000000000000e+01,9.999850315819607260e-01,1.496813957169162990e-05
4.300000000000000000e+01,9.999899605274805703e-01,1.003927680265359612e-05
4.350000000000000000e+01,9.999821617641118099e-01,1.783780486741548543e-05
4.400000000000000000e+01,9.999818161099167657e-01,1.818327381886142291e-05
4.450000000000000000e+01,9.999924655770723314e-01,7.534355343841170338e-06
4.500000000000000000e+01,9.999845589527469603e-01,1.544064859282379132e-05
4.550000000000000000e+01,9.999911689196487874e-01,8.830975742446511845e-06
4.600000000000000000e+01,9.999731275602771197e-01,2.687134022250070586e-05
4.650000000000000000e+01,9.999957442910055727e-01,4.255686331555708080e-06
4.700000000000000000e+01,9.999782311338002438e-01,2.176818315469120080e-05
4.750000000000000000e+01,9.999953730203767766e-01,4.626952053943256260e-06
4.800000000000000000e+01,9.999649863163275754e-01,3.501198433886187900e-05
4.850000000000000000e+01,9.999957464391224793e-01,4.253542199350590636e-06
4.900000000000000000e+01,9.999738984361427052e-01,2.610064240160525628e-05
4.950000000000000000e+01,9.999962080279960475e-01,3.791955776488720176e-06
5.000000000000000000e+01,9.999612445609677991e-01,3.875340625603129752e-05
5.050000000000000000e+01,9.999945263100539217e-01,5.473663114874405267e-06
5.100000000000000000e+01,9.999740735331943409e-01,2.592558122704868850e-05
5.150000000000000000e+01,9.999957646390352783e-01,4.235345269609780416e-06
5.200000000000000000e+01,9.999640397891640387e-01,3.595846665693791522e-05
5.250000000000000000e+01,9.999932368992826559e-01,6.763035764967284535e-06
5.300000000000000000e+01,9.999789748239488185e-01,2.102460921771243108e-05
5.350000000000000000e+01,9.999949363846564188e-01,5.063581411057782589e-06
5.400000000000000000e+01,9.999723160096716246e-01,2.768296024346916795e-05
5.450000000000000000e+01,9.999912680749677429e-01,8.731758462388050646e-06
5.500000000000000000e+01,9.999862940745177786e-01,1.370569626857331968e-05
5.550000000000000000e+01,9.999931372459206491e-01,6.862660484552307594e-06
5.600000000000000000e+01,9.999825241843975920e-01,1.747540830754346075e-05
5.650000000000000000e+01,9.999872209779432364e-01,1.277868206928101102e-05
5.700000000000000000e+01,9.999927475434171598e-01,7.252396455048604196e-06
5.750000000000000000e+01,9.999895574644165341e-01,1.044233654068360551e-05
5.800000000000000000e+01,9.999908876713810013e-01,9.112218825158002744e-06
5.850000000000000000e+01,9.999807444820290048e-01,1.925491099208365142e-05
5.900000000000000000e+01,9.999961932236480777e-01,3.806758800184439906e-06
5.950000000000000000e+01,9.999846361611854917e-01,1.536348321784508641e-05
6.000000000000000000e+01,9.999955096878894167e-01,4.490285938962834678e-06
6.050000000000000000e+01,9.999735778759646365e-01,2.642113829365300148e-05
6.100000000000000000e+01,9.999966634429515722e-01,3.336544684540143635e-06
6.150000000000000000e+01,9.999803560113231793e-01,1.964346343452660903e-05
6.200000000000000000e+01,9.999968814786029947e-01,3.118509645072542469e-06
6.250000000000000000e+01,9.999688348447648423e-01,3.116384632051438786e-05
6.300000000000000000e+01,9.999956769916538146e-01,4.322992061434050015e-06
6.350000000000000000e+01,9.999790426850128089e-01,2.095673985236246040e-05
6.400000000000000000e+01,9.999966884076633145e-01,3.311582254195144515e-06
6.450000000000000000e+01,9.999690218622463433e-01,3.097685507191805243e-05
6.500000000000000000e+01,9.999945622272552459e-01,5.437737218949578732e-06
6.550000000000000000e+01,9.999816675137755961e-01,1.833205843970731053e-05
6.600000000000000000e+01,9.999961170302492652e-01,3.882953440892400465e-06
6.650000000000000000e+01,9.999743320570892990e-01,2.566706474527169490e-05
6.700000000000000000e+01,9.999932829778011012e-01,6.716929443206787198e-06
6.750000000000000000e+01,9.999870646644538619e-01,1.293513270628210421e-05
6.800000000000000000e+01,9.999950647583792929e-01,4.935195782929113761e-06
6.850000000000000000e+01,9.999824863102257932e-01,1.751328423738041096e-05
6.900000000000000000e+01,9.999907073980466299e-01,9.292403896798973051e-06
6.950000000000000000e+01,9.999926833010863714e-01,7.316638961363253202e-06
7.000000000000000000e+01,9.999927628319662531e-01,7.237063512688379774e-06
7.050000000000000000e+01,9.999902175910898583e-01,9.782283840076289039e-06
7.100000000000000000e+01,9.999860142658366646e-01,1.398537903329888366e-05
7.150000000000000000e+01,9.999962910881474709e-01,3.708896238907577469e-06
7.200000000000000000e+01,9.999890618801410280e-01,1.093792620476818911e-05
7.250000000000000000e+01,9.999952283038421319e-01,4.771666694769471917e-06
7.300000000000000000e+01,9.999799546481614732e-01,2.004476056971515874e-05
7.350000000000000000e+01,9.999972716618351631e-01,2.728329259515938077e-06
7.400000000000000000e+01,9.999851415752146755e-01,1.485811742552023418e-05
7.450000000000000000e+01,9.999972090380866430e-01,2.790952094544607576e-06
7.500000000000000000e+01,9.999748491428551711e-01,2.515000073977091688e-05
7.550000000000000000e+01,9.999965833536827997e-01,3.416635966368986033e-06
7.600000000000000000e+01,9.999829669936769472e-01,1.703262610919242803e-05
7.650000000000000000e+01,9.999973435209825734e-01,2.656471824513673141e-06
7.700000000000000000e+01,9.999732272561807633e-01,2.677179124166428892e-05
7.750000000000000000e+01,9.999955513060548862e-01,4.448673769030797587e-06
7.800000000000000000e+01,9.999839097263241161e-01,1.608994492063864357e-05
7.850000000000000000e+01,9.999969199785126994e-01,3.080012743739146686e-06
7.900000000000000000e+01,9.999761278802828945e-01,2.387136465409334107e-05
7.950000000000000000e+01,9.999945993542393996e-01,5.400593587223667669e-06
8.000000000000000000e+01,9.999876797520705907e-01,1.232006370521787630e-05
8.050000000000000000e+01,9.999962704916576239e-01,3.729485850811897762e-06
8.100000000000000000e+01,9.999823798113505191e-01,1.761978002590147696e-05
8.150000000000000000e+01,9.999929808993435199e-01,7.018982084439073788e-06
