T,AGF,Avg_Leakage,Unitary_Error
1.0,0.999846472,0.000153,0.000295
1.5,0.999981105,0.000019,0.000041
2.0,0.999849759,0.000150,0.000282
2.5,0.999974260,0.000026,0.000056
3.0,0.999901516,0.000098,0.000177
3.5,0.999972583,0.000027,0.000063
4.0,0.999907518,0.000092,0.000175
4.5,0.999953736,0.000046,0.000095
5.0,0.999950918,0.000049,0.000108
5.5,0.999952855,0.000047,0.000093
6.0,0.999959127,0.000041,0.000097
6.5,0.999929428,0.000071,0.000124
7.0,0.999979402,0.000021,0.000057
7.5,0.999932571,0.000067,0.000115
8.0,0.999981361,0.000019,0.000052
8.5,0.999903595,0.000096,0.000168
9.0,0.999988517,0.000011,0.000028
9.5,0.999916898,0.000083,0.000151
10.0,0.999989128,0.000011,0.000025
10.5,0.999894241,0.000106,0.000198
11.0,0.999989124,0.000011,0.000027
11.5,0.999917486,0.000083,0.000157
12.0,0.999989864,0.000010,0.000024
12.5,0.999902153,0.000098,0.000187
13.0,0.999986921,0.000013,0.000032
13.5,0.999932599,0.000067,0.000127
14.0,0.999988307,0.000012,0.000024
14.5,0.999925943,0.000074,0.000138
15.0,0.999982475,0.000018,0.000032
15.5,0.999955565,0.000044,0.000080
16.0,0.999983747,0.000016,0.000030
16.5,0.999953817,0.000046,0.000089
17.0,0.999973025,0.000027,0.000047
17.5,0.999976336,0.000024,0.000053
18.0,0.999974533,0.000025,0.000046
18.5,0.999976308,0.000024,0.000057
19.0,0.999958336,0.000042,0.000068
19.5,0.999988840,0.000011,0.000031
20.0,0.999962250,0.000038,0.000061
20.5,0.999988805,0.000011,0.000032
21.0,0.999942712,0.000057,0.000095
21.5,0.999992963,0.000007,0.000016
22.0,0.999952012,0.000048,0.000084
22.5,0.999993040,0.000007,0.000016
23.0,0.999933199,0.000067,0.000122
23.5,0.999992472,0.000008,0.000020
24.0,0.999949317,0.000051,0.000095
24.5,0.999993264,0.000007,0.000017
25.0,0.999934800,0.000065,0.000124
25.5,0.999990739,0.000009,0.000025
26.0,0.999956038,0.000044,0.000083
26.5,0.999992248,0.000008,0.000019
27.0,0.999947138,0.000053,0.000099
27.5,0.999988106,0.000012,0.000027
28.0,0.999969069,0.000031,0.000055
28.5,0.999989813,0.000010,0.000018
29.0,0.999964748,0.000035,0.000064
29.5,0.999982646,0.000017,0.000027
30.0,0.999982498,0.000018,0.000037
30.5,0.999984521,0.000015,0.000027
31.0,0.999980720,0.000019,0.000043
31.5,0.999973182,0.000027,0.000042
32.0,0.999991478,0.000009,0.000023
32.5,0.999976469,0.000024,0.000037
33.0,0.999990736,0.000009,0.000026
33.5,0.999961661,0.000038,0.000059
34.0,0.999994791,0.000005,0.000012
34.5,0.999968473,0.000032,0.000053
35.0,0.999994667,0.000005,0.000013
35.5,0.999952739,0.000047,0.000084
36.0,0.999994430,0.000006,0.000015
36.5,0.999964564,0.000035,0.000065
37.0,0.999995090,0.000005,0.000012
37.5,0.999950912,0.000049,0.000092
38.0,0.999992992,0.000007,0.000020
38.5,0.999967162,0.000033,0.000062
39.0,0.999994410,0.000006,0.000015
39.5,0.999957456,0.000043,0.000080
40.0,0.999991281,0.000009,0.000022
40.5,0.999975248,0.000025,0.000045
41.0,0.999993052,0.000007,0.000015
41.5,0.999969547,0.000030,0.000055
42.0,0.999988041,0.000012,0.000023
42.5,0.999985020,0.000015,0.000030
43.0,0.999989956,0.000010,0.000016
43.5,0.999982159,0.000018,0.000037
44.0,0.999981819,0.000018,0.000028
44.5,0.999992460,0.000008,0.000019
45.0,0.999984552,0.000015,0.000024
45.5,0.999991168,0.000009,0.000023
46.0,0.999973130,0.000027,0.000040
46.5,0.999995743,0.000004,0.000011
47.0,0.999978219,0.000022,0.000034
47.5,0.999995371,0.000005,0.000013
48.0,0.999964987,0.000035,0.000059
48.5,0.999995747,0.000004,0.000011
49.0,0.999973885,0.000026,0.000046
49.5,0.999996206,0.000004,0.000009
50.0,0.999961244,0.000039,0.000071
50.5,0.999994527,0.000005,0.000016
51.0,0.999974059,0.000026,0.000048
51.5,0.999995763,0.000004,0.000012
52.0,0.999964039,0.000036,0.000068
52.5,0.999993238,0.000007,0.000019
53.0,0.999978962,0.000021,0.000039
53.5,0.999994934,0.000005,0.000012
54.0,0.999972315,0.000028,0.000051
54.5,0.999991270,0.000009,0.000020
55.0,0.999986284,0.000014,0.000025
55.5,0.999993134,0.000007,0.000012
56.0,0.999982523,0.000017,0.000034
56.5,0.999987222,0.000013,0.000020
57.0,0.999992743,0.000007,0.000017
57.5,0.999989552,0.000010,0.000016
58.0,0.999990886,0.000009,0.000022
58.5,0.999980746,0.000019,0.000028
59.0,0.999996192,0.000004,0.000010
59.5,0.999984629,0.000015,0.000023
60.0,0.999995509,0.000004,0.000013
60.5,0.999973579,0.000026,0.000042
61.0,0.999996664,0.000003,0.000008
61.5,0.999980347,0.000020,0.000034
62.0,0.999996880,0.000003,0.000006
62.5,0.999968834,0.000031,0.000056
63.0,0.999995678,0.000004,0.000013
63.5,0.999979032,0.000021,0.000038
64.0,0.999996686,0.000003,0.000009
64.5,0.999969021,0.000031,0.000058
