T,AGF,Omega_peak,Total_Area
1.000000000000000000e+00,9.998464724776809920e-01,1.361764102933328680e+01,6.534984523458676904e+02
1.500000000000000000e+00,9.999811053602918332e-01,8.244785282812006955e+00,5.172263035411937153e+02
2.000000000000000000e+00,9.998497590061866669e-01,5.727206684543422632e+00,4.907933523284428929e+02
2.500000000000000000e+00,9.999742596424547880e-01,4.295254089937352582e+00,5.027775612379336962e+02
3.000000000000000000e+00,9.999015164281148671e-01,3.379775243969977083e+00,5.320590105074925305e+02
3.500000000000000000e+00,9.999725830902850277e-01,2.751138175115385387e+00,5.704926216319902323e+02
4.000000000000000000e+00,9.999075176188025882e-01,2.297547000200891532e+00,6.143520637141454017e+02
4.500000000000000000e+00,9.999537355715342191e-01,2.044090057290862905e+00,6.617108344247906189e+02
5.000000000000000000e+00,9.999509184702027875e-01,2.036442560731970719e+00,7.114757264320786589e+02
5.500000000000000000e+00,9.999528554759047339e-01,2.030564360724244288e+00,7.629791380434877510e+02
6.000000000000000000e+00,9.999591272435838230e-01,2.026001161207235501e+00,8.157885954007913369e+02
6.500000000000000000e+00,9.999294284884745476e-01,2.022364242078348973e+00,8.696101527591064269e+02
7.000000000000000000e+00,9.999794023479274818e-01,2.019439566434361844e+00,9.242359669659651900e+02
7.500000000000000000e+00,9.999325712400354282e-01,2.017006990275782563e+00,9.795141746955584949e+02
8.000000000000000000e+00,9.999813613591035377e-01,2.015043515136738961e+00,1.035330721861346092e+03
8.500000000000000000e+00,9.999035950063135392e-01,2.013396929381741529e+00,1.091597934983150935e+03
9.000000000000000000e+00,9.999885173848686026e-01,2.011992683434156159e+00,1.148247068396396571e+03
9.500000000000000000e+00,9.999168975926796543e-01,2.010786465186393812e+00,1.205223288936605968e+03
1.000000000000000000e+01,9.999891279595715110e-01,2.009743427512897362e+00,1.262482206845776773e+03
1.050000000000000000e+01,9.998942408940342252e-01,2.008840584820065445e+00,1.319987417525729825e+03
1.100000000000000000e+01,9.999891238151719097e-01,2.008084147100748229e+00,1.377708722016069032e+03
1.150000000000000000e+01,9.999174863415383196e-01,2.007418727491658395e+00,1.435620814157288578e+03
1.200000000000000000e+01,9.999898644599884978e-01,2.006830477946322411e+00,1.493702295526706621e+03
1.250000000000000000e+01,9.999021529630131022e-01,2.006308053523088386e+00,1.551934925011292307e+03
1.300000000000000000e+01,9.999869209795614333e-01,2.005842095453198137e+00,1.610303039251423343e+03
1.350000000000000000e+01,9.999325993708261251e-01,2.005424832946932856e+00,1.668793099465469368e+03
1.400000000000000000e+01,9.999883068646541195e-01,2.005049774005903451e+00,1.727393333075048531e+03
1.450000000000000000e+01,9.999259429490138240e-01,2.004711463475771005e+00,1.786093447361351764e+03
1.500000000000000000e+01,9.999824752701822472e-01,2.004405292328979016e+00,1.844884398500076486e+03
1.550000000000000000e+01,9.999555652278818707e-01,2.004127346279345190e+00,1.903758203634410847e+03
1.600000000000000000e+01,9.999837470927792626e-01,2.003874284802479977e+00,1.962707786730598627e+03
1.650000000000000000e+01,9.999538174381813471e-01,2.003643243845799393e+00,2.021726851197599899e+03
1.700000000000000000e+01,9.999730250387630637e-01,2.003431757112553946e+00,2.080809773892527573e+03
1.750000000000000000e+01,9.999763359639193272e-01,2.003237692001841541e+00,2.139951516351254668e+03
1.800000000000000000e+01,9.999745325486486536e-01,2.003059197192942786e+00,2.199147549997514034e+03
1.850000000000000000e+01,9.999763075340519780e-01,2.002894659531038180e+00,2.258393792775083057e+03
1.900000000000000000e+01,9.999583363863930874e-01,2.002742668385690372e+00,2.317686555175429021e+03
1.950000000000000000e+01,9.999888401375495173e-01,2.002601986047601201e+00,2.377022494042332710e+03
2.000000000000000000e+01,9.999622500330984654e-01,2.002471523025468603e+00,2.436398572850012897e+03
2.050000000000000000e+01,9.999888050190360866e-01,2.002350317345562125e+00,2.495812027399968883e+03
2.100000000000000000e+01,9.999427117851533708e-01,2.002237517131759681e+00,2.555260336076652948e+03
2.150000000000000000e+01,9.999929633366273496e-01,2.002132365886201804e+00,2.614741193957861469e+03
2.200000000000000000e+01,9.999520115367281914e-01,2.002034190009073455e+00,2.674252490199181921e+03
2.250000000000000000e+01,9.999930397543963512e-01,2.001942388174660969e+00,2.733792288211166124e+03
2.300000000000000000e+01,9.999331987433268676e-01,2.001856422251186540e+00,2.793358808229387250e+03
2.350000000000000000e+01,9.999924716883816789e-01,2.001775809529026340e+00,2.852950411941922084e+03
2.400000000000000000e+01,9.999493172519871020e-01,2.001700116029196952e+00,2.912565588892930009e+03
2.450000000000000000e+01,9.999932635190967867e-01,2.001628950737480483e+00,2.972202944424528596e+03
2.500000000000000000e+01,9.999347997054572890e-01,2.001561960614559599e+00,3.031861188955957914e+03
2.550000000000000000e+01,9.999907389085646026e-01,2.001498826268431230e+00,3.091539128428234108e+03
2.600000000000000000e+01,9.999560376167486719e-01,2.001439258187885262e+00,3.151235655768324705e+03
2.650000000000000000e+01,9.999922482320293682e-01,2.001382993460345094e+00,3.210949743247279912e+03
2.700000000000000000e+01,9.999471384692926179e-01,2.001329792900104820e+00,3.270680435624365600e+03
2.750000000000000000e+01,9.999881060753781359e-01,2.001279438528920540e+00,3.330426843984480001e+03
2.800000000000000000e+01,9.999690685483166863e-01,2.001231731367357103e+00,3.390188140187799036e+03
