theta,delta,fidelity
0.000000000000000000e+00,0.000000000000000000e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.308996938995747039e-01,8.631758072912669721e-01
0.000000000000000000e+00,2.617993877991494078e-01,8.631758072912669721e-01
0.000000000000000000e+00,3.926990816987241395e-01,8.631758072912669721e-01
0.000000000000000000e+00,5.235987755982988157e-01,8.631758072912669721e-01
0.000000000000000000e+00,6.544984694978734918e-01,8.631758072912669721e-01
0.000000000000000000e+00,7.853981633974482790e-01,8.631758072912669721e-01
0.000000000000000000e+00,9.162978572970229552e-01,8.631758072912669721e-01
0.000000000000000000e+00,1.047197551196597631e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.178097245096172418e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.308996938995746984e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.439896632895321771e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.570796326794896558e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.701696020694471123e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.832595714594045910e+00,8.631758072912669721e-01
0.000000000000000000e+00,1.963495408493620475e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.094395102393195263e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.225294796292769828e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.356194490192344837e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.487094184091919402e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.617993877991493967e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.748893571891068976e+00,8.631758072912669721e-01
0.000000000000000000e+00,2.879793265790643542e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.010692959690218107e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.141592653589793116e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.272492347489367681e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.403392041388942246e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.534291735288516811e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.665191429188091821e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.796091123087666386e+00,8.631758072912669721e-01
0.000000000000000000e+00,3.926990816987240951e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.057890510886815960e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.188790204786390525e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.319689898685965090e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.450589592585539656e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.581489286485114221e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.712388980384689674e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.843288674284264239e+00,8.631758072912669721e-01
0.000000000000000000e+00,4.974188368183838804e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.105088062083413369e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.235987755982987935e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.366887449882562500e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.497787143782137953e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.628686837681712518e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.759586531581287083e+00,8.631758072912669721e-01
0.000000000000000000e+00,5.890486225480861648e+00,8.631758072912669721e-01
0.000000000000000000e+00,6.021385919380436214e+00,8.631758072912669721e-01
0.000000000000000000e+00,6.152285613280010779e+00,8.631758072912669721e-01
0.000000000000000000e+00,6.283185307179586232e+00,8.631758072912669721e-01
6.544984694978735196e-02,0.000000000000000000e+00,8.712194490241894629e-01
6.544984694978735196e-02,1.308996938995747039e-01,8.711570418728264986e-01
6.544984694978735196e-02,2.617993877991494078e-01,8.709573228687124136e-01
6.544984694978735196e-02,3.926990816987241395e-01,8.706242242234457640e-01
6.544984694978735196e-02,5.235987755982988157e-01,8.701630777589598464e-01
6.544984694978735196e-02,6.544984694978734918e-01,8.695828361385636862e-01
6.544984694978735196e-02,7.853981633974482790e-01,8.688932145019079289e-01
6.544984694978735196e-02,9.162978572970229552e-01,8.681057056112325698e-01
6.544984694978735196e-02,1.047197551196597631e+00,8.672349520652886667e-01
6.544984694978735196e-02,1.178097245096172418e+00,8.662959847113804734e-01
6.544984694978735196e-02,1.308996938995746984e+00,8.653046872159941838e-01
6.544984694978735196e-02,1.439896632895321771e+00,8.642784698604478733e-01
6.544984694978735196e-02,1.570796326794896558e+00,8.632351458530865829e-01
6.544984694978735196e-02,1.701696020694471123e+00,8.621923076118328533e-01
6.544984694978735196e-02,1.832595714594045910e+00,8.611676786395860983e-01
6.544984694978735196e-02,1.963495408493620475e+00,8.601790178933869102e-01
6.544984694978735196e-02,2.094395102393195263e+00,8.592429483629782094e-01
6.544984694978735196e-02,2.225294796292769828e+00,8.583751215288613068e-01
6.544984694978735196e-02,2.356194490192344837e+00,8.575902859799164890e-01
6.544984694978735196e-02,2.487094184091919402e+00,8.569014868427350384e-01
6.544984694978735196e-02,2.617993877991493967e+00,8.563201810761452704e-01
6.544984694978735196e-02,2.748893571891068976e+00,8.558559832722817395e-01
6.544984694978735196e-02,2.879793265790643542e+00,8.555168770257206567e-01
6.544984694978735196e-02,3.010692959690218107e+00,8.553083130688445834e-01
6.544984694978735196e-02,3.141592653589793116e+00,8.552339421119413698e-01
6.544984694978735196e-02,3.272492347489367681e+00,8.552943174568194973e-01
6.544984694978735196e-02,3.403392041388942246e+00,8.554894402564633404e-01
6.544984694978735196e-02,3.534291735288516811e+00,8.558155414207360145e-01
6.544984694978735196e-02,3.665191429188091821e+00,8.562670289727623008e-01
6.544984694978735196e-02,3.796091123087666386e+00,8.568372727446380566e-01
6.544984694978735196e-02,3.926990816987240951e+00,8.575156921152393696e-01
6.544984694978735196e-02,4.057890510886815960e+00,8.582916457234298635e-01
6.544984694978735196e-02,4.188790204786390525e+00,8.591521406751595480e-01
6.544984694978735196e-02,4.319689898685965090e+00,8.600820823381218894e-01
6.544984694978735196e-02,4.450589592585539656e+00,8.610667299562030363e-01
6.544984694978735196e-02,4.581489286485114221e+00,8.620887566432670068e-01
6.544984694978735196e-02,4.712388980384689674e+00,8.631309668470730223e-01
6.544984694978735196e-02,4.843288674284264239e+00,8.641754605788817267e-01
6.544984694978735196e-02,4.974188368183838804e+00,8.652048241299810094e-01
6.544984694978735196e-02,5.105088062083413369e+00,8.662003832252097579e-01
6.544984694978735196e-02,5.235987755982987935e+00,8.671457598550572632e-01
6.544984694978735196e-02,5.366887449882562500e+00,8.680241764826556183e-01
6.544984694978735196e-02,5.497787143782137953e+00,8.688202726803750942e-01
6.544984694978735196e-02,5.628686837681712518e+00,8.695202196196827327e-01
6.544984694978735196e-02,5.759586531581287083e+00,8.701122018385561985e-01
6.544984694978735196e-02,5.890486225480861648e+00,8.705850658093110539e-01
6.544984694978735196e-02,6.021385919380436214e+00,8.709305566183299652e-01
6.544984694978735196e-02,6.152285613280010779e+00,8.711437170359216386e-01
6.544984694978735196e-02,6.283185307179586232e+00,8.712195401200337752e-01
1.308996938995747039e-01,0.000000000000000000e+00,8.793293841753064832e-01
1.308996938995747039e-01,1.308996938995747039e-01,8.792036278787700443e-01
1.308996938995747039e-01,2.617993877991494078e-01,8.788003011195945069e-01
1.308996938995747039e-01,3.926990816987241395e-01,8.781285541854215726e-01
1.308996938995747039e-01,5.235987755982988157e-01,8.771995032548772775e-01
1.308996938995747039e-01,6.544984694978734918e-01,8.760307218183847056e-01
1.308996938995747039e-01,7.853981633974482790e-01,8.746425772763738449e-01
1.308996938995747039e-01,9.162978572970229552e-01,8.730598056552517638e-01
1.308996938995747039e-01,1.047197551196597631e+00,8.713121487432744505e-01
1.308996938995747039e-01,1.178097245096172418e+00,8.694290276296451347e-01
1.308996938995747039e-01,1.308996938995746984e+00,8.674440956776900968e-01
1.308996938995747039e-01,1.439896632895321771e+00,8.653918750586399034e-01
1.308996938995747039e-01,1.570796326794896558e+00,8.633083369843377319e-01
1.308996938995747039e-01,1.701696020694471123e+00,8.612288237633308752e-01
1.308996938995747039e-01,1.832595714594045910e+00,8.591885184077328041e-01
1.308996938995747039e-01,1.963495408493620475e+00,8.572226753915839215e-01
1.308996938995747039e-01,2.094395102393195263e+00,8.553635671475904312e-01
1.308996938995747039e-01,2.225294796292769828e+00,8.536421868277834779e-01
1.308996938995747039e-01,2.356194490192344837e+00,8.520870081683642461e-01
1.308996938995747039e-01,2.487094184091919402e+00,8.507236782505012140e-01
1.308996938995747039e-01,2.617993877991493967e+00,8.495735553836326615e-01
1.308996938995747039e-01,2.748893571891068976e+00,8.486562533563342114e-01
1.308996938995747039e-01,2.879793265790643542e+00,8.479861077605761466e-01
